date,AMGN
2020-01-02,201.03111267089844
2020-01-03,199.66629028320312
2020-01-06,201.1985626220703
2020-01-07,199.30628967285156
2020-01-08,199.45700073242188
2020-01-09,200.05149841308594
2020-01-10,199.49049377441406
2020-01-13,198.36851501464844
2020-01-14,200.94737243652344
2020-01-15,202.3707275390625
2020-01-16,201.36599731445312
2020-01-17,202.19491577148438
2020-01-21,198.93788146972656
2020-01-22,198.2261962890625
2020-01-23,196.79444885253906
2020-01-24,188.88211059570312
2020-01-27,186.6717071533203
2020-01-28,188.25421142578125
2020-01-29,190.1883087158203
2020-01-30,189.3510284423828
2020-01-31,180.89450073242188
2020-02-03,181.58946228027344
2020-02-04,185.7172088623047
2020-02-05,194.1988983154297
2020-02-06,193.7886199951172
2020-02-07,192.01356506347656
2020-02-10,190.4143524169922
2020-02-11,191.7037811279297
2020-02-12,190.0626983642578
2020-02-13,188.0726776123047
2020-02-14,188.44371032714844
2020-02-18,186.93435668945312
2020-02-19,188.00527954101562
2020-02-20,187.31382751464844
2020-02-21,187.86192321777344
2020-02-24,183.72164916992188
2020-02-25,177.39752197265625
2020-02-26,180.90530395507812
2020-02-27,171.59609985351562
2020-02-28,168.4171600341797
2020-03-02,178.93215942382812
2020-03-03,172.37188720703125
2020-03-04,181.38595581054688
2020-03-05,178.86471557617188
2020-03-06,177.62518310546875
2020-03-09,167.2703857421875
2020-03-10,174.3787384033203
2020-03-11,167.5064697265625
2020-03-12,153.66917419433594
2020-03-13,170.4155731201172
2020-03-16,159.0995330810547
2020-03-17,175.2219696044922
2020-03-18,172.759765625
2020-03-19,167.5992431640625
2020-03-20,158.7369384765625
2020-03-23,156.78065490722656
2020-03-24,170.6179962158203
2020-03-25,162.86033630371094
2020-03-26,167.37158203125
2020-03-27,167.1860809326172
2020-03-30,175.7953643798828
2020-03-31,170.94683837890625
2020-04-01,166.79818725585938
2020-04-02,176.13265991210938
2020-04-03,173.2067108154297
2020-04-06,178.4093780517578
2020-04-07,176.04830932617188
2020-04-08,184.8262939453125
2020-04-09,183.9999542236328
2020-04-13,184.0505828857422
2020-04-14,191.2432403564453
2020-04-15,187.02711486816406
2020-04-16,194.70046997070312
2020-04-17,198.13238525390625
2020-04-20,199.5068359375
2020-04-21,194.57394409179688
2020-04-22,193.3428955078125
2020-04-23,196.04115295410156
2020-04-24,199.2370147705078
2020-04-27,204.4227752685547
2020-04-28,200.40907287597656
2020-04-29,198.73947143554688
2020-04-30,201.7161102294922
2020-05-01,194.7678985595703
2020-05-04,194.70889282226562
2020-05-05,199.30445861816406
2020-05-06,199.49838256835938
2020-05-07,196.7494659423828
2020-05-08,198.0059051513672
2020-05-11,204.6842041015625
2020-05-12,200.02117919921875
2020-05-13,199.70077514648438
2020-05-14,200.67044067382812
2020-05-15,203.91339111328125
2020-05-18,197.9623565673828
2020-05-19,193.072509765625
2020-05-20,193.44607543945312
2020-05-21,190.82289123535156
2020-05-22,192.22357177734375
2020-05-26,188.8024139404297
2020-05-27,190.8483428955078
2020-05-28,190.27105712890625
2020-05-29,194.99961853027344
2020-06-01,192.63107299804688
2020-06-02,189.92298889160156
2020-06-03,187.61390686035156
2020-06-04,187.5120391845703
2020-06-05,191.5784149169922
2020-06-08,191.6463165283203
2020-06-09,190.92469787597656
2020-06-10,192.80935668945312
2020-06-11,185.83114624023438
2020-06-12,184.98220825195312
2020-06-15,186.57818603515625
2020-06-16,192.5971221923828
2020-06-17,191.8330841064453
2020-06-18,195.52598571777344
2020-06-19,202.64002990722656
2020-06-22,198.81129455566406
2020-06-23,200.1356658935547
2020-06-24,197.3850860595703
2020-06-25,199.59234619140625
2020-06-26,197.66525268554688
2020-06-29,196.57862854003906
2020-06-30,200.2290496826172
2020-07-01,216.57945251464844
2020-07-02,219.22813415527344
2020-07-06,217.53875732421875
2020-07-07,214.90707397460938
2020-07-08,213.58274841308594
2020-07-09,213.6421661376953
2020-07-10,211.41795349121094
2020-07-13,212.266845703125
2020-07-14,214.85610961914062
2020-07-15,215.04293823242188
2020-07-16,216.6473846435547
2020-07-17,219.4148712158203
2020-07-20,221.5287322998047
2020-07-21,218.94798278808594
2020-07-22,218.158447265625
2020-07-23,214.134521484375
2020-07-24,210.5181121826172
2020-07-27,215.3314971923828
2020-07-28,216.70681762695312
2020-07-29,211.25668334960938
2020-07-30,208.9560546875
2020-07-31,207.70814514160156
2020-08-03,209.9917449951172
2020-08-04,206.79127502441406
2020-08-05,204.99156188964844
2020-08-06,205.0594482421875
2020-08-07,204.3293914794922
2020-08-10,202.19009399414062
2020-08-11,199.20184326171875
2020-08-12,205.20376586914062
2020-08-13,204.13412475585938
2020-08-14,204.86056518554688
2020-08-17,207.68080139160156
2020-08-18,206.39028930664062
2020-08-19,205.5271759033203
2020-08-20,204.02297973632812
2020-08-21,203.09152221679688
2020-08-24,201.32241821289062
2020-08-25,212.1333465576172
2020-08-26,213.8083953857422
2020-08-27,216.0560302734375
2020-08-28,216.32098388671875
2020-08-31,216.4918975830078
2020-09-01,214.38955688476562
2020-09-02,220.59402465820312
2020-09-03,211.868408203125
2020-09-04,212.28717041015625
2020-09-08,206.1168212890625
2020-09-09,209.8685760498047
2020-09-10,205.6553497314453
2020-09-11,207.85171508789062
2020-09-14,210.87704467773438
2020-09-15,212.24440002441406
2020-09-16,211.74021911621094
2020-09-17,212.013671875
2020-09-18,211.70602416992188
2020-09-21,207.8345947265625
2020-09-22,211.51800537109375
2020-09-23,207.3218231201172
2020-09-24,205.38185119628906
2020-09-25,208.37303161621094
2020-09-28,211.11634826660156
2020-09-29,212.20175170898438
2020-09-30,217.2097625732422
2020-10-01,218.26095581054688
2020-10-02,209.73187255859375
2020-10-05,218.79083251953125
2020-10-06,215.9534912109375
2020-10-07,220.20950317382812
2020-10-08,205.18528747558594
2020-10-09,202.28811645507812
2020-10-12,204.68960571289062
2020-10-13,204.54434204101562
2020-10-14,203.10003662109375
2020-10-15,200.8438262939453
2020-10-16,201.45059204101562
2020-10-19,197.16900634765625
2020-10-20,197.5022735595703
2020-10-21,195.68194580078125
2020-10-22,194.83584594726562
2020-10-23,194.1350860595703
2020-10-26,192.19508361816406
2020-10-27,190.97296142578125
2020-10-28,184.92225646972656
2020-10-29,186.15293884277344
2020-10-30,185.40087890625
2020-11-02,188.19549560546875
2020-11-03,188.06727600097656
2020-11-04,196.84425354003906
2020-11-05,198.24583435058594
2020-11-06,197.98941040039062
2020-11-09,200.83531188964844
2020-11-10,206.47576904296875
2020-11-11,205.6980743408203
2020-11-12,202.6641387939453
2020-11-13,204.23013305664062
2020-11-16,203.6278533935547
2020-11-17,199.9968719482422
2020-11-18,195.97006225585938
2020-11-19,193.3114013671875
2020-11-20,192.02073669433594
2020-11-23,191.20330810546875
2020-11-24,189.68899536132812
2020-11-25,189.5599365234375
2020-11-27,193.43185424804688
2020-11-30,191.0484619140625
2020-12-01,193.66415405273438
2020-12-02,194.9375457763672
2020-12-03,195.2386932373047
2020-12-04,197.21766662597656
2020-12-07,194.8429412841797
2020-12-08,196.9853515625
2020-12-09,197.76840209960938
2020-12-10,196.3142547607422
2020-12-11,195.6603240966797
2020-12-14,197.43276977539062
2020-12-15,198.3534393310547
2020-12-16,196.55516052246094
2020-12-17,198.9644012451172
2020-12-18,196.59820556640625
2020-12-21,195.58287048339844
2020-12-22,190.14500427246094
2020-12-23,191.8228759765625
2020-12-24,191.81422424316406
2020-12-28,192.4337158203125
2020-12-29,195.2042694091797
2020-12-30,195.46240234375
2020-12-31,197.8285675048828
2021-01-04,195.02357482910156
2021-01-05,195.97006225585938
2021-01-06,200.69381713867188
