date,XOM,CVX,COP,SLB,ENPH
2020-01-02,54.131065368652344,93.95562744140625,53.051509857177734,35.14986801147461,29.34000015258789
2020-01-03,53.695884704589844,93.63067626953125,53.24600601196289,35.491127014160156,29.290000915527344
2020-01-06,54.10816192626953,93.31342315673828,53.878150939941406,35.71864318847656,29.65999984741211
2020-01-07,53.66534423828125,92.12184143066406,53.878150939941406,35.53488540649414,29.989999771118164
2020-01-08,52.856056213378906,91.06957244873047,52.63008117675781,34.4848518371582,31.0
2020-01-09,53.260704040527344,90.92256164550781,53.545867919921875,34.87861251831055,31.59000015258789
2020-01-10,52.78733825683594,90.09463500976562,53.01907730102539,34.85236358642578,30.670000076293945
2020-01-13,53.29124069213867,90.2648696899414,52.78404998779297,34.32734298706055,30.790000915527344
2020-01-14,52.83314514160156,89.98633575439453,52.79216384887695,34.58985137939453,30.200000762939453
2020-01-15,52.749168395996094,89.85479736328125,52.67870330810547,33.53982925415039,30.15999984741211
2020-01-16,52.54303741455078,90.44282531738281,52.735435485839844,33.93357849121094,30.829999923706055
2020-01-17,52.34450912475586,89.4292221069336,52.735435485839844,33.57481384277344,31.5
2020-01-21,51.59629821777344,87.6728286743164,51.89257049560547,32.332279205322266,31.260000228881836
2020-01-22,51.298545837402344,87.35559844970703,51.065921783447266,32.09602355957031,31.6200008392334
2020-01-23,50.97787857055664,87.51033782958984,51.17127990722656,31.87726593017578,32.06999969482422
2020-01-24,50.634315490722656,86.54317474365234,50.749839782714844,31.299755096435547,32.70000076293945
2020-01-27,49.42800521850586,85.41350555419922,49.46935272216797,29.71595001220703,29.950000762939453
2020-01-28,49.35929489135742,85.97834014892578,49.582801818847656,29.71595001220703,32.2400016784668
2020-01-29,48.9470100402832,85.39804077148438,49.02359390258789,29.51468849182129,32.560001373291016
2020-01-30,49.46617889404297,86.19499206542969,49.347774505615234,29.785951614379883,33.4900016784668
2020-01-31,47.42766571044922,82.89884948730469,48.1645393371582,29.322181701660156,31.520000457763672
2020-02-03,46.366432189941406,82.23342895507812,47.96192932128906,29.278438568115234,32.91999816894531
2020-02-04,45.78618240356445,82.6744613647461,45.781837463378906,29.81220054626465,36.900001525878906
2020-02-05,47.89339828491211,85.3283920288086,47.63774871826172,30.687219619750977,36.90999984741211
2020-02-06,47.24443817138672,84.7171401977539,47.337894439697266,30.197208404541016,38.38999938964844
2020-02-07,46.9314079284668,84.29158020019531,46.997501373291016,30.11845588684082,38.04999923706055
2020-02-10,46.43576431274414,84.94925689697266,46.90024185180664,30.057205200195312,38.61000061035156
2020-02-11,46.87720489501953,86.04796600341797,47.581016540527344,30.447904586791992,39.65999984741211
2020-02-12,47.450286865234375,86.69020080566406,48.431976318359375,31.122753143310547,41.5
2020-02-13,47.186981201171875,86.39614868164062,48.00757598876953,30.785322189331055,41.34000015258789
2020-02-14,46.97014236450195,86.1691665649414,47.84432601928711,30.563337326049805,41.09000015258789
2020-02-18,46.373809814453125,86.29439544677734,47.58315658569336,29.879621505737305,40.16999816894531
2020-02-19,46.73006057739258,86.685791015625,48.366695404052734,30.447904586791992,57.220001220703125
2020-02-20,46.35831832885742,85.95779418945312,48.056541442871094,30.03944969177246,58.7400016784668
2020-02-21,45.79297637939453,85.33158111572266,47.697425842285156,29.648752212524414,59.09000015258789
2020-02-24,43.64775466918945,81.96558380126953,46.0161018371582,27.46438217163086,55.2599983215332
2020-02-25,41.97495651245117,78.83443450927734,43.93484878540039,26.052541732788086,50.900001525878906
2020-02-26,41.053375244140625,76.74439239501953,41.763797760009766,25.200103759765625,51.869998931884766
2020-02-27,38.5828857421875,73.68370056152344,38.466461181640625,23.83265495300293,48.7599983215332
2020-02-28,39.83749008178711,73.06529998779297,39.51931381225586,24.054643630981445,48.970001220703125
2020-03-02,41.72713851928711,75.60934448242188,40.1804313659668,24.67621612548828,51.400001525878906
2020-03-03,39.72906494140625,73.8872299194336,39.27445602416992,23.806018829345703,52.369998931884766
2020-03-04,40.59645080566406,77.12796783447266,40.34366226196289,24.045766830444336,53.470001220703125
2020-03-05,38.807472229003906,76.07902526855469,38.93166732788086,22.935821533203125,56.689998626708984
2020-03-06,36.93331527709961,74.61521911621094,36.997344970703125,21.177677154541016,53.04999923706055
2020-03-09,32.418304443359375,63.147403717041016,27.807174682617188,15.370468139648438,43.380001068115234
2020-03-10,33.618690490722656,66.5212173461914,28.468278884887695,16.15186309814453,45.59000015258789
2020-03-11,32.511234283447266,64.99476623535156,26.574745178222656,15.432623863220215,41.72999954223633
2020-03-12,28.793893814086914,59.695316314697266,23.01620864868164,12.804283142089844,33.02000045776367
2020-03-13,29.52187156677246,65.30004119873047,25.611656188964844,14.349319458007812,32.86000061035156
2020-03-16,26.710636138916016,54.56023025512695,21.28590965270996,12.795402526855469,27.450000762939453
2020-03-17,28.507347106933594,55.3351936340332,21.424663543701172,12.431344985961914,29.280000686645508
2020-03-18,25.649641036987305,43.0924072265625,18.502748489379883,10.699836730957031,23.989999771118164
2020-03-19,26.664159774780273,44.92411804199219,20.885984420776367,12.315909385681152,26.25
2020-03-20,25.3553524017334,46.48969650268555,21.90620994567871,12.67996883392334,26.0
2020-03-23,24.356319427490234,42.44269561767578,20.037160873413086,11.392436027526855,27.510000228881836
2020-03-24,27.44635772705078,52.09445571899414,25.089298248291016,13.008509635925293,34.34000015258789
2020-03-25,28.879079818725586,54.22361755371094,25.252534866333008,12.964115142822266,36.810001373291016
2020-03-26,30.063982009887695,59.78923416137695,26.191143035888672,13.781030654907227,36.130001068115234
2020-03-27,28.615768432617188,53.840049743652344,23.87319564819336,12.218233108520508,32.380001068115234
2020-03-30,29.04171371459961,56.32147979736328,23.905845642089844,11.792015075683594,32.0
2020-03-31,29.40570831298828,56.720726013183594,25.138273239135742,11.978487014770508,32.290000915527344
2020-04-01,29.064950942993164,53.667850494384766,24.175182342529297,11.179327964782715,29.770000457763672
2020-04-02,31.287607192993164,59.585716247558594,27.635774612426758,12.324786186218262,29.920000076293945
2020-04-03,30.36602020263672,58.79510498046875,26.860408782958984,12.688848495483398,28.690000534057617
2020-04-06,31.341815948486328,62.92821502685547,26.770626068115234,13.914222717285156,34.04999923706055
2020-04-07,31.93813705444336,63.34309005737305,27.154226303100586,14.624587059020996,35.040000915527344
2020-04-08,33.95944595336914,67.30399322509766,29.1212215423584,15.343830108642578,37.93000030517578
2020-04-09,33.4018440246582,65.99671936035156,28.34585189819336,14.624587059020996,38.060001373291016
2020-04-13,33.11529541015625,66.46641540527344,27.994890213012695,14.162851333618164,37.779998779296875
2020-04-14,32.85973358154297,66.2315673828125,27.815340042114258,13.798788070678711,41.400001525878906
2020-04-15,31.349565505981445,64.5720443725586,26.28092384338379,13.079547882080078,39.61000061035156
2020-04-16,30.319555282592773,62.6151008605957,25.35863494873047,12.475741386413574,38.790000915527344
2020-04-17,33.47154998779297,68.23550415039062,28.778413772583008,13.567920684814453,38.959999084472656
2020-04-20,31.891674041748047,65.41749572753906,28.215261459350586,13.505763053894043,39.0099983215332
2020-04-21,31.721302032470703,63.90668869018555,27.088932037353516,13.044026374816895,35.5099983215332
2020-04-22,32.62740707397461,66.09849548339844,28.549894332885742,13.621200561523438,38.2400016784668
2020-04-23,33.6496696472168,67.94589233398438,29.529308319091797,14.668981552124023,39.47999954223633
2020-04-24,33.866512298583984,68.11027526855469,29.455852508544922,14.304924011230469,37.72999954223633
2020-04-27,34.02914047241211,70.22378540039062,30.320995330810547,14.251644134521484,37.209999084472656
2020-04-28,34.82682800292969,70.3803482055664,31.406517028808594,14.340441703796387,43.0
2020-04-29,36.75519943237305,74.06727600097656,34.450862884521484,16.160741806030273,48.9900016784668
2020-04-30,35.988487243652344,72.016357421875,34.361083984375,14.935370445251465,46.83000183105469
2020-05-01,33.409584045410156,70.01243591308594,31.945192337036133,13.985259056091309,43.25
2020-05-04,34.75712585449219,71.57801055908203,32.94093704223633,14.411476135253906,43.97999954223633
2020-05-05,34.71840286254883,72.71304321289062,33.39798355102539,14.429237365722656,44.369998931884766
2020-05-06,34.06787109375,70.48993682861328,33.047035217285156,14.047414779663086,52.68000030517578
2020-05-07,34.26148223876953,72.51734924316406,34.62225341796875,14.85545539855957,54.4900016784668
2020-05-08,35.7639045715332,74.7326431274414,35.51253890991211,16.027549743652344,57.279998779296875
2020-05-11,35.42314910888672,73.08878326416016,34.84482192993164,15.414859771728516,59.58000183105469
2020-05-12,34.8310546875,71.31187438964844,34.27603530883789,15.166237831115723,59.27000045776367
2020-05-13,33.10213088989258,69.43317413330078,32.88290023803711,14.074056625366211,57.470001220703125
2020-05-14,33.39423370361328,70.48993682861328,32.915870666503906,14.296045303344727,56.97999954223633
2020-05-15,33.15739822387695,69.79325866699219,33.69075393676758,14.162851333618164,58.380001068115234
2020-05-18,35.79419708251953,73.5104751586914,35.941200256347656,15.938755989074707,64.41999816894531
2020-05-19,34.68894577026367,71.18325805664062,35.174560546875,15.19287395477295,67.04000091552734
2020-05-20,35.8178825378418,73.86788940429688,36.394596099853516,16.16962242126465,64.16999816894531
2020-05-21,35.17841339111328,73.10540771484375,36.040138244628906,15.796680450439453,59.93000030517578
2020-05-22,35.209983825683594,71.70746612548828,35.677406311035156,15.610211372375488,56.41999816894531
2020-05-26,36.24419403076172,74.10618591308594,35.9989013671875,16.338335037231445,58.43000030517578
2020-05-27,36.50470733642578,74.58277130126953,36.8232421875,16.915502548217773,57.86000061035156
2020-05-28,35.5573616027832,72.17607116699219,35.454837799072266,16.68463134765625,55.79999923706055
2020-05-29,35.89682388305664,72.83533477783203,34.77063751220703,16.40049171447754,58.189998626708984
2020-06-01,36.53628158569336,73.70111846923828,35.76808547973633,16.364973068237305,59.68000030517578
2020-06-02,37.34943389892578,75.2102279663086,36.435813903808594,16.861154556274414,56.95000076293945
2020-06-03,38.87308883666992,77.18798828125,37.19418716430664,17.531665802001953,53.31999969482422
2020-06-04,38.76256561279297,76.47314453125,36.856231689453125,18.17536163330078,51.63999938964844
2020-06-05,41.90463638305664,80.07121276855469,40.054649353027344,19.659423828125,54.59000015258789
2020-06-08,43.215145111083984,82.00130462646484,41.4725227355957,21.143489837646484,52.900001525878906
2020-06-09,42.25198745727539,80.64309692382812,40.0876350402832,20.124311447143555,51.58000183105469
2020-06-10,39.98624038696289,77.5057144165039,37.845420837402344,18.73858070373535,49.349998474121094
2020-06-11,36.457340240478516,70.98465728759766,34.7211799621582,16.548248291015625,47.65999984741211
2020-06-12,37.2389030456543,73.3833999633789,36.04835891723633,16.98631477355957,48.630001068115234
2020-06-15,37.21522521972656,72.4620361328125,35.73511505126953,17.272396087646484,50.45000076293945
2020-06-16,38.052059173583984,74.6860122680664,37.18595504760742,17.47801971435547,52.7599983215332
2020-06-17,36.812599182128906,72.70825958251953,36.28743362426758,17.728349685668945,39.040000915527344
2020-06-18,37.04154968261719,73.02597045898438,36.64189147949219,18.0412540435791,45.720001220703125
2020-06-19,36.2994499206543,71.9854507446289,36.02363204956055,17.621061325073242,46.720001220703125
2020-06-22,36.64680862426758,72.74798583984375,35.908233642578125,17.719409942626953,45.560001373291016
2020-06-23,36.86787414550781,72.62883758544922,36.11431121826172,17.495901107788086,45.4900016784668
2020-06-24,35.13104248046875,69.61054992675781,33.7896728515625,15.96713638305664,46.68000030517578
2020-06-25,35.65998458862305,70.85758209228516,34.67171859741211,16.467790603637695,45.79999923706055
2020-06-26,34.436317443847656,68.67333221435547,33.26210021972656,15.59164810180664,45.29999923706055
