date,COP
2020-01-02,53.051509857177734
2020-01-03,53.24600601196289
2020-01-06,53.878150939941406
2020-01-07,53.878150939941406
2020-01-08,52.63008117675781
2020-01-09,53.545867919921875
2020-01-10,53.01907730102539
2020-01-13,52.78404998779297
2020-01-14,52.79216384887695
2020-01-15,52.67870330810547
2020-01-16,52.735435485839844
2020-01-17,52.735435485839844
2020-01-21,51.89257049560547
2020-01-22,51.065921783447266
2020-01-23,51.17127990722656
2020-01-24,50.749839782714844
2020-01-27,49.46935272216797
2020-01-28,49.582801818847656
2020-01-29,49.02359390258789
2020-01-30,49.347774505615234
2020-01-31,48.1645393371582
2020-02-03,47.96192932128906
2020-02-04,45.781837463378906
2020-02-05,47.63774871826172
2020-02-06,47.337894439697266
2020-02-07,46.997501373291016
2020-02-10,46.90024185180664
2020-02-11,47.581016540527344
2020-02-12,48.431976318359375
2020-02-13,48.00757598876953
2020-02-14,47.84432601928711
2020-02-18,47.58315658569336
2020-02-19,48.366695404052734
2020-02-20,48.056541442871094
2020-02-21,47.697425842285156
2020-02-24,46.0161018371582
2020-02-25,43.93484878540039
2020-02-26,41.763797760009766
2020-02-27,38.466461181640625
2020-02-28,39.51931381225586
2020-03-02,40.1804313659668
2020-03-03,39.27445602416992
2020-03-04,40.34366226196289
2020-03-05,38.93166732788086
2020-03-06,36.997344970703125
2020-03-09,27.807174682617188
2020-03-10,28.468278884887695
2020-03-11,26.574745178222656
2020-03-12,23.01620864868164
2020-03-13,25.611656188964844
2020-03-16,21.28590965270996
2020-03-17,21.424663543701172
2020-03-18,18.502748489379883
2020-03-19,20.885984420776367
2020-03-20,21.90620994567871
2020-03-23,20.037160873413086
2020-03-24,25.089298248291016
2020-03-25,25.252534866333008
2020-03-26,26.191143035888672
2020-03-27,23.87319564819336
2020-03-30,23.905845642089844
2020-03-31,25.138273239135742
2020-04-01,24.175182342529297
2020-04-02,27.635774612426758
2020-04-03,26.860408782958984
2020-04-06,26.770626068115234
2020-04-07,27.154226303100586
2020-04-08,29.1212215423584
2020-04-09,28.34585189819336
2020-04-13,27.994890213012695
2020-04-14,27.815340042114258
2020-04-15,26.28092384338379
2020-04-16,25.35863494873047
2020-04-17,28.778413772583008
2020-04-20,28.215261459350586
2020-04-21,27.088932037353516
2020-04-22,28.549894332885742
2020-04-23,29.529308319091797
2020-04-24,29.455852508544922
2020-04-27,30.320995330810547
2020-04-28,31.406517028808594
2020-04-29,34.450862884521484
2020-04-30,34.361083984375
2020-05-01,31.945192337036133
2020-05-04,32.94093704223633
