date,NVDA
2020-01-02,5.971410751342773
2020-01-03,5.8758320808410645
2020-01-06,5.900472640991211
2020-01-07,5.9719085693359375
2020-01-08,5.983108997344971
2020-01-09,6.048819541931152
2020-01-10,6.081175804138184
2020-01-13,6.271834373474121
2020-01-14,6.15485143661499
2020-01-15,6.112287521362305
2020-01-16,6.195919990539551
2020-01-17,6.2046308517456055
2020-01-21,6.17127799987793
2020-01-22,6.225290298461914
2020-01-23,6.293737888336182
2020-01-24,6.234500408172607
2020-01-27,5.978629112243652
2020-01-28,6.172025203704834
2020-01-29,6.111542701721191
2020-01-30,6.11826229095459
2020-01-31,5.884791851043701
2020-02-03,5.981864929199219
2020-02-04,6.151116847991943
2020-02-05,6.241468906402588
2020-02-06,6.328334331512451
2020-02-07,6.26212739944458
2020-02-10,6.545378684997559
2020-02-11,6.667837619781494
2020-02-12,6.7835774421691895
2020-02-13,6.73976993560791
2020-02-14,7.21293306350708
2020-02-18,7.381689071655273
2020-02-19,7.832948207855225
2020-02-20,7.68360710144043
2020-02-21,7.31946325302124
2020-02-24,6.801996231079102
2020-02-25,6.52247953414917
2020-02-26,6.661863803863525
2020-02-27,6.291027069091797
2020-02-28,6.726119518280029
2020-03-02,6.884516716003418
2020-03-03,6.622016906738281
2020-03-04,7.08574914932251
2020-03-05,6.806314468383789
2020-03-06,6.625751495361328
2020-03-09,6.112706661224365
2020-03-10,6.502223014831543
2020-03-11,6.138359546661377
2020-03-12,5.387221336364746
2020-03-13,5.998143196105957
2020-03-16,4.891361713409424
2020-03-17,5.411130428314209
2020-03-18,5.051253318786621
2020-03-19,5.3040385246276855
2020-03-20,5.124224662780762
2020-03-23,5.297065734863281
2020-03-24,6.2058515548706055
2020-03-25,6.117190837860107
2020-03-26,6.406586647033691
2020-03-27,6.2942657470703125
2020-03-30,6.614544868469238
2020-03-31,6.564982891082764
2020-04-01,6.053681373596191
2020-04-02,6.362504959106445
2020-04-03,6.0746026039123535
2020-04-06,6.684528350830078
2020-04-07,6.451167106628418
2020-04-08,6.648416042327881
2020-04-09,6.548795223236084
2020-04-13,6.720640182495117
2020-04-14,7.071803092956543
2020-04-15,6.99434757232666
2020-04-16,7.339531421661377
2020-04-17,7.2802581787109375
2020-04-20,7.149007320404053
2020-04-21,6.712172508239746
2020-04-22,7.12659215927124
2020-04-23,7.073295593261719
2020-04-24,7.21226692199707
2020-04-27,7.398805141448975
2020-04-28,7.256348609924316
2020-04-29,7.4331746101379395
2020-04-30,7.279262542724609
2020-05-01,7.042663097381592
2020-05-04,7.254605770111084
2020-05-05,7.3156232833862305
2020-05-06,7.416488170623779
2020-05-07,7.592816352844238
2020-05-08,7.782842636108398
2020-05-11,8.034883499145508
2020-05-12,7.772881031036377
2020-05-13,7.750466346740723
2020-05-14,8.000017166137695
2020-05-15,8.458518028259277
2020-05-18,8.717034339904785
2020-05-19,8.772072792053223
2020-05-20,8.935949325561523
2020-05-21,8.741939544677734
2020-05-22,8.991985321044922
2020-05-26,8.684656143188477
2020-05-27,8.49288558959961
2020-05-28,8.454782485961914
2020-05-29,8.84180736541748
2020-06-01,8.772820472717285
2020-06-02,8.791748046875
2020-06-03,8.736210823059082
2020-06-04,8.737205505371094
2020-06-05,8.890193939208984
2020-06-08,8.775578498840332
2020-06-09,9.015772819519043
2020-06-10,9.335453033447266
2020-06-11,8.766858100891113
2020-06-12,8.902654647827148
2020-06-15,9.143094062805176
2020-06-16,9.038199424743652
2020-06-17,9.205140113830566
2020-06-18,9.187199592590332
2020-06-19,9.230301856994629
2020-06-22,9.494916915893555
2020-06-23,9.418423652648926
2020-06-24,9.20464038848877
2020-06-25,9.45828914642334
2020-06-26,9.124406814575195
2020-06-29,9.169257164001465
2020-06-30,9.466012001037598
2020-07-01,9.49815559387207
2020-07-02,9.580131530761719
2020-07-06,9.806371688842773
2020-07-07,9.838762283325195
2020-07-08,10.181863784790039
2020-07-09,10.473883628845215
2020-07-10,10.444232940673828
2020-07-13,10.018660545349121
2020-07-14,10.34232234954834
2020-07-15,10.193075180053711
2020-07-16,10.100884437561035
2020-07-17,10.167410850524902
2020-07-20,10.475629806518555
2020-07-21,10.293986320495605
2020-07-22,10.403870582580566
2020-07-23,10.095900535583496
2020-07-24,10.160435676574707
2020-07-27,10.386674880981445
2020-07-28,10.181365013122559
2020-07-29,10.430529594421387
2020-07-30,10.578534126281738
2020-07-31,10.579280853271484
2020-08-03,10.973458290100098
2020-08-04,11.190231323242188
2020-08-05,11.249034881591797
2020-08-06,11.297621726989746
2020-08-07,11.162079811096191
2020-08-10,11.127691268920898
2020-08-11,10.813746452331543
2020-08-12,11.402022361755371
2020-08-13,11.404764175415039
2020-08-14,11.525360107421875
2020-08-17,12.2957763671875
2020-08-18,12.219779014587402
2020-08-19,12.097939491271973
