date,GOOG
2020-01-02,67.90381622314453
2020-01-03,67.57058715820312
2020-01-06,69.2366943359375
2020-01-07,69.19348907470703
2020-01-08,69.73876190185547
2020-01-09,70.50898742675781
2020-01-10,71.0006332397461
2020-01-13,71.47239685058594
2020-01-14,71.05773162841797
2020-01-15,71.47090911865234
2020-01-16,72.09165954589844
2020-01-17,73.51640319824219
2020-01-21,73.71553802490234
2020-01-22,73.79252624511719
2020-01-23,73.82728576660156
2020-01-24,72.8370590209961
2020-01-27,71.20771789550781
2020-01-28,72.13436126708984
2020-01-29,72.43579864501953
2020-01-30,72.29725646972656
2020-01-31,71.22409057617188
2020-02-03,73.79202270507812
2020-02-04,71.86172485351562
2020-02-05,71.9193344116211
2020-02-06,73.30982208251953
2020-02-07,73.45880889892578
2020-02-10,74.92129516601562
2020-02-11,74.9267578125
2020-02-12,75.39752960205078
2020-02-13,75.21826171875
2020-02-14,75.52019500732422
2020-02-18,75.46705627441406
2020-02-19,75.815673828125
2020-02-20,75.3915786743164
2020-02-21,73.75080108642578
2020-02-24,70.59638977050781
2020-02-25,68.9506607055664
2020-02-26,69.185546875
2020-02-27,65.45657348632812
2020-02-28,66.51134490966797
2020-03-02,68.98342895507812
2020-03-03,66.61365509033203
2020-03-04,68.85481262207031
2020-03-05,65.50374603271484
2020-03-06,64.47926330566406
2020-03-09,60.36491012573242
2020-03-10,63.584373474121094
2020-03-11,60.35745620727539
2020-03-12,55.36661148071289
2020-03-13,60.571990966796875
2020-03-16,53.84800338745117
2020-03-17,55.60945129394531
2020-03-18,54.467262268066406
2020-03-19,55.38548278808594
2020-03-20,53.251583099365234
2020-03-23,52.471923828125
2020-03-24,56.33747100830078
2020-03-25,54.74983596801758
2020-03-26,57.69269561767578
2020-03-27,55.15803909301758
2020-03-30,56.951263427734375
2020-03-31,57.74533462524414
2020-04-01,54.90526580810547
2020-04-02,55.66109848022461
2020-04-03,54.520896911621094
2020-04-06,58.94264221191406
2020-04-07,58.92228317260742
2020-04-08,60.102699279785156
2020-04-09,60.16080093383789
2020-04-13,60.4642219543457
2020-04-14,63.03016662597656
2020-04-15,62.69446563720703
2020-04-16,62.74412536621094
2020-04-17,63.72640609741211
2020-04-20,62.900062561035156
2020-04-21,60.40363693237305
2020-04-22,62.73120880126953
2020-04-23,63.38175964355469
2020-04-24,63.53074264526367
2020-04-27,63.36040496826172
2020-04-28,61.26424789428711
2020-04-29,66.61811065673828
2020-04-30,66.97467041015625
2020-05-01,65.58170318603516
2020-05-04,65.88909149169922
2020-05-05,67.0963363647461
2020-05-06,66.90713500976562
2020-05-07,68.16155242919922
2020-05-08,68.9466781616211
2020-05-11,69.68612670898438
2020-05-12,68.3194808959961
2020-05-13,67.00794219970703
2020-05-14,67.34564208984375
2020-05-15,68.19284057617188
2020-05-18,68.7266845703125
2020-05-19,68.20748901367188
2020-05-20,69.85794067382812
2020-05-21,69.66326904296875
2020-05-22,70.04168701171875
2020-05-26,70.36944580078125
2020-05-27,70.41016387939453
2020-05-28,70.35504150390625
2020-05-29,70.96041107177734
2020-06-01,71.10441589355469
2020-06-02,71.47189331054688
2020-06-03,71.33085632324219
2020-06-04,70.12909698486328
2020-06-05,71.4306869506836
2020-06-08,71.8388900756836
2020-06-09,72.31314849853516
2020-06-10,72.79435729980469
2020-06-11,69.71492004394531
2020-06-12,70.17874145507812
2020-06-15,70.5099868774414
2020-06-16,71.64569854736328
2020-06-17,72.06285095214844
2020-06-18,71.30999755859375
2020-06-19,71.09945678710938
2020-06-22,72.09961700439453
2020-06-23,72.72284698486328
2020-06-24,71.11186981201172
2020-06-25,71.57667541503906
2020-06-26,67.5328598022461
2020-06-29,69.27442932128906
2020-06-30,70.20008850097656
2020-07-01,71.4133071899414
2020-07-02,72.73723602294922
2020-07-06,74.2767105102539
2020-07-07,73.7542953491211
2020-07-08,74.2916030883789
2020-07-09,75.03600311279297
2020-07-10,76.56304931640625
2020-07-13,75.05339813232422
2020-07-14,75.51225280761719
2020-07-15,75.16761779785156
2020-07-16,75.38412475585938
2020-07-17,75.26245880126953
2020-07-20,77.75391387939453
2020-07-21,77.39138793945312
2020-07-22,77.89146423339844
2020-07-23,75.26891326904297
2020-07-24,75.0797119140625
2020-07-27,75.98998260498047
2020-07-28,74.50711822509766
2020-07-29,75.58375549316406
2020-07-30,76.05205535888672
2020-07-31,73.64403533935547
2020-08-03,73.22142791748047
2020-08-04,72.7506332397461
2020-08-05,73.1797103881836
2020-08-06,74.49520874023438
2020-08-07,74.21662902832031
2020-08-10,74.29656982421875
2020-08-11,73.512939453125
2020-08-12,74.81900787353516
2020-08-13,75.40647888183594
2020-08-14,74.87410736083984
2020-08-17,75.38312530517578
2020-08-18,77.40032958984375
2020-08-19,76.85059356689453
2020-08-20,78.54995727539062
2020-08-21,78.48391723632812
2020-08-24,78.87027740478516
2020-08-25,79.86447143554688
2020-08-26,82.05746459960938
2020-08-27,81.16110229492188
2020-08-28,81.66165924072266
2020-08-31,81.15364837646484
2020-09-01,82.47113037109375
2020-09-02,85.82667541503906
2020-09-03,81.53404998779297
2020-09-04,79.01131439208984
2020-09-08,76.0987319946289
2020-09-09,77.31888580322266
2020-09-10,76.08035278320312
2020-09-11,75.51920318603516
2020-09-14,75.44770050048828
2020-09-15,76.54814910888672
2020-09-16,75.52813720703125
2020-09-17,74.26826477050781
2020-09-18,72.50332641601562
2020-09-21,71.07164001464844
2020-09-22,72.77497863769531
2020-09-23,70.27955627441406
2020-09-24,70.9291000366211
2020-09-25,71.75695037841797
2020-09-28,72.72830200195312
2020-09-29,72.96717071533203
2020-09-30,72.98057556152344
2020-10-01,73.99810791015625
2020-10-02,72.42537689208984
2020-10-05,73.79598236083984
2020-10-06,72.17806243896484
2020-10-07,72.51824188232422
2020-10-08,73.7915267944336
2020-10-09,75.24607849121094
2020-10-12,77.92424011230469
2020-10-13,78.04987335205078
2020-10-14,77.87110900878906
2020-10-15,77.4266586303711
2020-10-16,78.11592864990234
2020-10-19,76.20897674560547
2020-10-20,77.26774597167969
2020-10-21,79.12403106689453
2020-10-22,80.21754455566406
2020-10-23,81.49232482910156
2020-10-26,78.98200225830078
2020-10-27,79.66781616210938
2020-10-28,75.31559753417969
2020-10-29,77.82938385009766
2020-10-30,80.49961853027344
2020-11-02,80.74891662597656
2020-11-03,81.9496841430664
2020-11-04,86.86206817626953
2020-11-05,87.56924438476562
2020-11-06,87.4887924194336
2020-11-09,87.55087280273438
2020-11-10,86.42804718017578
2020-11-11,87.03986358642578
2020-11-12,86.8973388671875
2020-11-13,88.24710083007812
2020-11-16,88.463623046875
2020-11-17,87.90593719482422
2020-11-18,86.7453842163086
2020-11-19,87.59656524658203
2020-11-20,86.51744079589844
2020-11-23,86.15342712402344
2020-11-24,87.8428726196289
2020-11-25,87.9695053100586
2020-11-27,89.05010223388672
2020-11-30,87.43862915039062
2020-12-01,89.29393768310547
2020-12-02,90.77629089355469
2020-12-03,90.71768951416016
2020-12-04,90.77827453613281
2020-12-07,90.35567474365234
2020-12-08,90.30948638916016
2020-12-09,88.60018920898438
2020-12-10,88.16317749023438
2020-12-11,88.48297882080078
2020-12-14,87.40486145019531
2020-12-15,87.78773498535156
2020-12-16,87.55087280273438
2020-12-17,86.80098724365234
2020-12-18,85.96223449707031
2020-12-21,86.37740325927734
2020-12-22,85.58928680419922
2020-12-23,86.0302734375
2020-12-24,86.35157012939453
2020-12-28,88.20092010498047
2020-12-29,87.33831024169922
2020-12-30,86.38484191894531
2020-12-31,86.99864959716797
2021-01-04,85.82467651367188
2021-01-05,86.4543685913086
2021-01-06,86.17478942871094
2021-01-07,88.755126953125
2021-01-08,89.74634552001953
2021-01-11,87.73560333251953
2021-01-12,86.73395538330078
2021-01-13,87.12378692626953
2021-01-14,86.41763305664062
2021-01-15,86.219482421875
2021-01-19,88.93439483642578
2021-01-20,93.70376586914062
2021-01-21,93.9197769165039
2021-01-22,94.40644836425781
2021-01-25,94.32451629638672
2021-01-26,95.21044921875
2021-01-27,90.91732788085938
2021-01-28,92.52235412597656
2021-01-29,91.16314697265625
2021-02-01,94.42133331298828
2021-02-02,95.720458984375
2021-02-03,102.80001831054688
2021-02-04,102.41763305664062
2021-02-05,104.1870346069336
2021-02-08,103.93424224853516
2021-02-09,103.46743774414062
2021-02-10,104.0569076538086
2021-02-11,104.08223724365234
2021-02-12,104.49044036865234
2021-02-16,105.37390899658203
2021-02-17,105.69221496582031
2021-02-18,105.1405029296875
2021-02-19,104.34294891357422
2021-02-22,102.54227447509766
2021-02-23,102.83924102783203
2021-02-24,104.0464859008789
2021-02-25,100.87767028808594
2021-02-26,101.15081024169922
2021-03-01,103.36811828613281
2021-03-02,103.0865478515625
2021-03-03,100.6467514038086
2021-03-04,101.75814819335938
2021-03-05,104.71044158935547
2021-03-08,100.52062225341797
2021-03-09,101.93742370605469
2021-03-10,102.05313110351562
2021-03-11,105.01982879638672
2021-03-12,102.39527893066406
2021-03-15,102.62223052978516
2021-03-16,103.91488647460938
2021-03-17,103.84336853027344
2021-03-18,101.1190185546875
2021-03-19,101.46565246582031
2021-03-22,101.23670959472656
2021-03-23,101.95032501220703
2021-03-24,101.5580062866211
2021-03-25,101.52324676513672
2021-03-26,101.08574676513672
2021-03-29,102.09881591796875
2021-03-30,102.07844543457031
2021-03-31,102.72850036621094
2021-04-01,106.16099548339844
2021-04-05,110.52116394042969
2021-04-06,110.4814453125
2021-04-07,111.719482421875
2021-04-08,112.50211334228516
2021-04-09,113.51716613769531
2021-04-12,111.9732437133789
2021-04-13,112.59300231933594
2021-04-14,111.97571563720703
2021-04-15,114.05250549316406
2021-04-16,114.10713195800781
2021-04-19,114.33756256103516
2021-04-20,113.90203094482422
2021-04-21,113.88514709472656
2021-04-22,112.62527465820312
2021-04-23,114.9781723022461
2021-04-26,115.5462875366211
2021-04-27,114.57196044921875
2021-04-28,118.18672180175781
2021-04-29,120.66873168945312
2021-04-30,119.68694305419922
2021-05-03,118.94452667236328
2021-05-04,116.91244506835938
2021-05-05,117.03607940673828
2021-05-06,118.25822448730469
2021-05-07,119.11933898925781
2021-05-10,116.2872085571289
2021-05-11,114.65340423583984
2021-05-12,111.19308471679688
2021-05-13,112.32978820800781
2021-05-14,115.0208740234375
2021-05-17,115.28160095214844
2021-05-18,114.38871002197266
2021-05-19,114.65091705322266
2021-05-20,117.0038070678711
2021-05-21,116.45803833007812
2021-05-24,119.515625
2021-05-25,119.63479614257812
2021-05-26,120.84949493408203
2021-05-27,119.30904388427734
2021-05-28,119.75847625732422
2021-06-01,120.66476440429688
2021-06-02,120.24116516113281
2021-06-03,119.41331481933594
2021-06-04,121.75479888916016
2021-06-07,122.46643829345703
2021-06-08,123.2987289428711
2021-06-09,123.72332763671875
2021-06-10,125.22306823730469
2021-06-11,124.84217071533203
2021-06-14,125.49322509765625
2021-06-15,125.17638397216797
2021-06-16,124.84217071533203
2021-06-17,125.5120849609375
2021-06-18,124.71404266357422
2021-06-21,125.59552001953125
2021-06-22,126.13632202148438
2021-06-23,125.60197448730469
2021-06-24,126.41690063476562
2021-06-25,126.13185119628906
2021-06-28,125.9575424194336
2021-06-29,125.16197967529297
2021-06-30,124.4642562866211
2021-07-01,125.50960540771484
2021-07-02,127.84410858154297
2021-07-06,128.88897705078125
2021-07-07,129.19337463378906
2021-07-08,128.2990264892578
2021-07-09,128.69381713867188
2021-07-12,129.6765899658203
2021-07-13,130.10415649414062
2021-07-14,131.1847686767578
2021-07-15,130.3743133544922
2021-07-16,130.94940185546875
2021-07-19,128.37548828125
2021-07-20,130.21041870117188
2021-07-21,131.69924926757812
2021-07-22,132.42230224609375
2021-07-23,136.87930297851562
2021-07-26,138.6953887939453
2021-07-27,135.86671447753906
2021-07-28,135.45457458496094
2021-07-29,135.61245727539062
2021-07-30,134.3019256591797
2021-08-02,135.06521606445312
2021-08-03,135.35372924804688
2021-08-04,135.10394287109375
2021-08-05,136.00926208496094
2021-08-06,136.10459899902344
2021-08-09,137.0640411376953
2021-08-10,137.1578826904297
2021-08-11,136.753662109375
2021-08-12,137.4488983154297
2021-08-13,137.4652862548828
2021-08-16,137.97181701660156
2021-08-17,136.3673095703125
2021-08-18,135.6417999267578
2021-08-19,135.98292541503906
2021-08-20,137.49607849121094
2021-08-23,140.14048767089844
2021-08-24,141.43063354492188
2021-08-25,141.9783935546875
2021-08-26,141.15704345703125
2021-08-27,143.5680389404297
2021-08-30,144.4807891845703
2021-08-31,144.47332763671875
2021-09-01,144.8507537841797
