date,PFE
2020-01-02,28.447664260864258
2020-01-03,28.2950382232666
2020-01-06,28.258695602416992
2020-01-07,28.16420555114746
2020-01-08,28.389516830444336
2020-01-09,28.265958786010742
2020-01-10,28.702049255371094
2020-01-13,28.643901824951172
2020-01-14,29.12360382080078
2020-01-15,29.55970001220703
2020-01-16,29.516084671020508
2020-01-17,29.44340705871582
2020-01-21,29.319849014282227
2020-01-22,29.21082305908203
2020-01-23,29.58876609802246
2020-01-24,28.941892623901367
2020-01-27,29.18901824951172
2020-01-28,27.72084617614746
2020-01-29,27.313823699951172
2020-01-30,27.218379974365234
2020-01-31,27.343196868896484
2020-02-03,27.541446685791016
2020-02-04,27.673608779907227
2020-02-05,28.026042938232422
2020-02-06,28.092126846313477
2020-02-07,27.937938690185547
2020-02-10,27.76171875
2020-02-11,27.967300415039062
2020-02-12,27.710315704345703
2020-02-13,27.115585327148438
2020-02-14,26.80720329284668
2020-02-18,26.667695999145508
2020-02-19,26.601619720458984
2020-02-20,26.322601318359375
2020-02-21,26.227144241333008
2020-02-24,25.456193923950195
2020-02-25,24.912851333618164
2020-02-26,25.492908477783203
2020-02-27,25.037677764892578
2020-02-28,24.538393020629883
2020-03-02,25.610389709472656
2020-03-03,25.184524536132812
2020-03-04,26.726430892944336
2020-03-05,26.0362491607666
2020-03-06,25.713180541992188
2020-03-09,24.78803253173828
2020-03-10,25.39745330810547
2020-03-11,23.62058448791504
2020-03-12,22.041961669921875
2020-03-13,24.017078399658203
2020-03-16,22.15944480895996
2020-03-17,23.613245010375977
2020-03-18,23.760089874267578
2020-03-19,22.335660934448242
2020-03-20,21.300382614135742
2020-03-23,20.918577194213867
2020-03-24,21.8070068359375
2020-03-25,21.84371566772461
2020-03-26,23.312206268310547
2020-03-27,22.688098907470703
2020-03-30,23.98771095275879
2020-03-31,23.965679168701172
2020-04-01,23.312206268310547
2020-04-02,24.134553909301758
2020-04-03,24.699922561645508
2020-04-06,25.38277244567871
2020-04-07,24.67789649963379
2020-04-08,25.40479850769043
2020-04-09,25.984848022460938
2020-04-13,25.80129051208496
2020-04-14,26.75580596923828
2020-04-15,26.41071319580078
2020-04-16,26.344619750976562
2020-04-17,27.10089683532715
2020-04-20,26.49147605895996
2020-04-21,26.153724670410156
2020-04-22,26.61629295349121
2020-04-23,26.939361572265625
2020-04-24,27.445999145507812
2020-04-27,28.143524169921875
2020-04-28,27.83513832092285
2020-04-29,27.989328384399414
2020-04-30,28.165546417236328
2020-05-01,27.63689613342285
2020-05-04,27.62221336364746
2020-05-05,28.27568244934082
2020-05-06,28.27568244934082
2020-05-07,27.40806007385254
2020-05-08,27.600862503051758
2020-05-11,28.253437042236328
2020-05-12,27.704679489135742
2020-05-13,27.47479820251465
2020-05-14,28.119958877563477
2020-05-15,28.001310348510742
2020-05-18,28.23118782043457
2020-05-19,27.941986083984375
2020-05-20,27.904909133911133
2020-05-21,27.63052749633789
2020-05-22,27.808500289916992
2020-05-26,27.80109214782715
2020-05-27,27.741762161254883
2020-05-28,28.312768936157227
2020-05-29,28.320178985595703
2020-06-01,26.29572296142578
2020-06-02,26.814807891845703
2020-06-03,26.814807891845703
2020-06-04,26.703575134277344
2020-06-05,26.688745498657227
2020-06-08,27.133686065673828
2020-06-09,26.851890563964844
2020-06-10,26.636838912963867
2020-06-11,24.69394874572754
2020-06-12,25.027652740478516
2020-06-15,24.73844337463379
2020-06-16,24.768104553222656
2020-06-17,24.886754989624023
2020-06-18,24.64945411682129
2020-06-19,24.782939910888672
2020-06-22,24.553054809570312
2020-06-23,24.300922393798828
2020-06-24,23.870820999145508
2020-06-25,23.96722412109375
2020-06-26,23.75958251953125
2020-06-29,24.20452117919922
2020-06-30,24.249013900756836
2020-07-01,25.020240783691406
2020-07-02,25.59123420715332
2020-07-06,25.59123420715332
2020-07-07,25.23529052734375
2020-07-08,25.027652740478516
2020-07-09,24.812597274780273
2020-07-10,25.086977005004883
2020-07-13,26.11032485961914
2020-07-14,26.12516212463379
2020-07-15,26.488521575927734
2020-07-16,26.399538040161133
2020-07-17,26.881549835205078
2020-07-20,27.066946029663086
2020-07-21,27.207834243774414
2020-07-22,28.59455680847168
2020-07-23,28.483320236206055
2020-07-24,27.927148818969727
2020-07-27,27.838172912597656
2020-07-28,28.935672760009766
2020-07-29,29.113649368286133
2020-07-30,29.00881004333496
2020-07-31,28.81412124633789
2020-08-03,28.71677589416504
2020-08-04,28.74673080444336
2020-08-05,28.79166603088379
2020-08-06,28.656877517700195
2020-08-07,28.79166603088379
2020-08-10,28.74673080444336
2020-08-11,28.297447204589844
2020-08-12,28.701805114746094
2020-08-13,28.581993103027344
2020-08-14,28.4996280670166
2020-08-17,28.71677589416504
2020-08-18,28.724267959594727
2020-08-19,28.64938735961914
2020-08-20,28.993850708007812
2020-08-21,29.1136531829834
2020-08-24,29.083694458007812
2020-08-25,28.761707305908203
2020-08-26,28.492143630981445
2020-08-27,28.349863052368164
2020-08-28,28.387304306030273
2020-08-31,28.297447204589844
2020-09-01,27.616031646728516
2020-09-02,27.855655670166016
2020-09-03,27.256603240966797
2020-09-04,27.226654052734375
2020-09-08,26.9046630859375
2020-09-09,27.09187126159668
2020-09-10,26.695003509521484
2020-09-11,27.009496688842773
2020-09-14,27.713380813598633
2020-09-15,27.67593765258789
2020-09-16,27.5411434173584
2020-09-17,27.57110595703125
2020-09-18,27.4288330078125
2020-09-21,26.972057342529297
2020-09-22,27.1442813873291
2020-09-23,26.957080841064453
2020-09-24,26.777368545532227
2020-09-25,26.994525909423828
2020-09-28,27.249114990234375
2020-09-29,27.084381103515625
2020-09-30,27.481243133544922
2020-10-01,27.234142303466797
2020-10-02,27.241626739501953
2020-10-05,27.518695831298828
2020-10-06,27.084381103515625
2020-10-07,27.309019088745117
2020-10-08,27.623519897460938
2020-10-09,27.54863739013672
2020-10-12,27.57110595703125
2020-10-13,27.63100814819336
2020-10-14,27.601057052612305
2020-10-15,27.36892318725586
2020-10-16,28.41725730895996
2020-10-19,28.3049373626709
2020-10-20,28.07280921936035
2020-10-21,27.76579475402832
2020-10-22,28.027877807617188
2020-10-23,28.589487075805664
2020-10-26,28.394794464111328
2020-10-27,28.027877807617188
2020-10-28,26.545238494873047
2020-10-29,26.41793441772461
2020-10-30,26.567699432373047
2020-11-02,27.12931251525879
2020-11-03,27.09935760498047
2020-11-04,27.952999114990234
2020-11-05,27.529348373413086
2020-11-06,27.536914825439453
2020-11-09,29.65513801574707
2020-11-10,29.26175308227539
2020-11-11,29.125581741333008
2020-11-12,28.406896591186523
2020-11-13,29.21636199951172
2020-11-16,28.2404727935791
2020-11-17,28.736860275268555
2020-11-18,28.96012306213379
2020-11-19,28.856468200683594
2020-11-20,29.263120651245117
2020-11-23,29.119592666625977
2020-11-24,29.183382034301758
2020-11-25,29.127567291259766
2020-11-27,29.685714721679688
2020-11-30,30.54686737060547
2020-12-01,31.4239559173584
2020-12-02,32.53229522705078
2020-12-03,31.966175079345703
2020-12-04,32.16550827026367
2020-12-07,32.89110565185547
2020-12-08,33.93565368652344
2020-12-09,33.36952590942383
2020-12-10,33.27383041381836
2020-12-11,32.78744888305664
2020-12-14,31.264490127563477
2020-12-15,30.865808486938477
2020-12-16,30.1721134185791
2020-12-17,30.323606491088867
2020-12-18,30.04452896118164
2020-12-21,29.80532455444336
2020-12-22,29.295011520385742
2020-12-23,29.85315704345703
2020-12-24,29.71761703491211
2020-12-28,29.358800888061523
2020-12-29,29.54219627380371
2020-12-30,29.295011520385742
2020-12-31,29.350826263427734
2021-01-04,29.350826263427734
2021-01-05,29.65382194519043
2021-01-06,29.398672103881836
