date,JNJ
2020-01-02,124.07300567626953
2020-01-03,122.63651275634766
2020-01-06,122.48350524902344
2020-01-07,123.23150634765625
2020-01-08,123.21449279785156
2020-01-09,123.57997131347656
2020-01-10,123.29948425292969
2020-01-13,123.84346771240234
2020-01-14,124.5405044555664
2020-01-15,124.95697021484375
2020-01-16,125.96847534179688
2020-01-17,126.79293060302734
2020-01-21,126.8779525756836
2020-01-22,126.0109634399414
2020-01-23,126.24893951416016
2020-01-24,126.07048034667969
2020-01-27,126.43595886230469
2020-01-28,127.0734634399414
2020-01-29,127.95741271972656
2020-01-30,127.80442810058594
2020-01-31,126.53790283203125
2020-02-03,127.64292907714844
2020-02-04,128.85842895507812
2020-02-05,130.88990783691406
2020-02-06,130.49893188476562
2020-02-07,129.10494995117188
2020-02-10,129.0794219970703
2020-02-11,129.18992614746094
2020-02-12,128.42491149902344
2020-02-13,127.5749282836914
2020-02-14,127.60894775390625
2020-02-18,126.7674331665039
2020-02-19,126.59746551513672
2020-02-20,126.11294555664062
2020-02-21,127.43893432617188
2020-02-24,124.81280517578125
2020-02-25,123.73499298095703
2020-02-26,122.90525817871094
2020-02-27,119.00458526611328
2020-02-28,115.03548431396484
2020-03-02,119.77446746826172
2020-03-03,115.98497772216797
2020-03-04,122.73418426513672
2020-03-05,121.47673797607422
2020-03-06,121.4938735961914
2020-03-09,116.71210479736328
2020-03-10,121.16024017333984
2020-03-11,112.74298095703125
2020-03-12,107.27690887451172
2020-03-13,114.87297058105469
2020-03-16,108.74822998046875
2020-03-17,116.8404312133789
2020-03-18,115.44609069824219
2020-03-19,108.67980194091797
2020-03-20,102.55506896972656
2020-03-23,95.07023620605469
2020-03-24,101.94772338867188
2020-03-25,102.13592529296875
2020-03-26,108.26919555664062
2020-03-27,105.35225677490234
2020-03-30,113.77803802490234
2020-03-31,112.16987609863281
2020-04-01,110.18531799316406
2020-04-02,113.8978042602539
2020-04-03,114.77030181884766
2020-04-06,119.55206298828125
2020-04-07,117.60172271728516
2020-04-08,122.54598236083984
2020-04-09,120.80950164794922
2020-04-13,119.56060791015625
2020-04-14,124.91548919677734
2020-04-15,126.30982971191406
2020-04-16,128.02915954589844
2020-04-17,130.03936767578125
2020-04-20,129.73995971679688
2020-04-21,128.03770446777344
2020-04-22,130.86911010742188
2020-04-23,133.02476501464844
2020-04-24,132.46878051757812
2020-04-27,131.98117065429688
2020-04-28,129.50048828125
2020-04-29,128.51678466796875
2020-04-30,128.34568786621094
2020-05-01,126.84870910644531
2020-05-04,126.83158874511719
2020-05-05,127.88377380371094
2020-05-06,126.66908264160156
2020-05-07,126.24993133544922
2020-05-08,127.19940948486328
2020-05-11,127.55014038085938
2020-05-12,125.86499786376953
2020-05-13,125.85643005371094
2020-05-14,126.29269409179688
2020-05-15,128.68783569335938
2020-05-18,128.7562713623047
2020-05-19,127.47315979003906
2020-05-20,126.32687377929688
2020-05-21,125.49716186523438
2020-05-22,124.3515625
2020-05-26,124.51522827148438
2020-05-27,124.79946899414062
2020-05-28,126.59104919433594
2020-05-29,128.12425231933594
2020-06-01,126.78057098388672
2020-06-02,127.6935806274414
2020-06-03,128.03811645507812
2020-06-04,126.38436126708984
2020-06-05,126.87527465820312
2020-06-08,126.41878509521484
2020-06-09,125.72110748291016
2020-06-10,127.30599975585938
2020-06-11,121.33686065673828
2020-06-12,122.43941497802734
2020-06-15,121.66419982910156
2020-06-16,124.42910766601562
2020-06-17,124.05010223388672
2020-06-18,123.52469635009766
2020-06-19,123.88644409179688
2020-06-22,123.50749206542969
2020-06-23,123.0509262084961
2020-06-24,120.43251037597656
2020-06-25,120.30329895019531
2020-06-26,118.70115661621094
2020-06-29,119.76065063476562
2020-06-30,121.13015747070312
2020-07-01,120.91482543945312
2020-07-02,121.4229965209961
2020-07-06,123.154296875
2020-07-07,123.0423355102539
2020-07-08,123.40412139892578
2020-07-09,122.7322998046875
2020-07-10,122.62889099121094
2020-07-13,125.0750732421875
2020-07-14,127.40933990478516
2020-07-15,127.70217895507812
2020-07-16,128.5548858642578
2020-07-17,128.6410369873047
2020-07-20,128.8563995361328
2020-07-21,128.9769744873047
2020-07-22,129.20953369140625
2020-07-23,128.864990234375
2020-07-24,127.58162689208984
2020-07-27,126.77191162109375
2020-07-28,126.4704818725586
2020-07-29,126.22071075439453
2020-07-30,126.47909545898438
2020-07-31,125.54885864257812
2020-08-03,126.91839599609375
2020-08-04,126.80638885498047
2020-08-05,127.82273864746094
2020-08-06,127.09062194824219
2020-08-07,127.99505615234375
2020-08-10,127.50408935546875
2020-08-11,126.59104919433594
2020-08-12,128.9080810546875
2020-08-13,127.47824096679688
2020-08-14,127.68495178222656
2020-08-17,128.33094787597656
2020-08-18,129.27841186523438
2020-08-19,129.53684997558594
2020-08-20,130.4240264892578
2020-08-21,131.57821655273438
2020-08-24,131.925048828125
2020-08-25,131.84701538085938
2020-08-26,132.05508422851562
2020-08-27,132.64471435546875
2020-08-28,133.21697998046875
2020-08-31,133.01754760742188
2020-09-01,131.37879943847656
2020-09-02,133.38172912597656
2020-09-03,129.67066955566406
2020-09-04,128.83827209472656
2020-09-08,127.68505859375
2020-09-09,129.8007049560547
2020-09-10,127.38159942626953
2020-09-11,128.13592529296875
2020-09-14,128.63018798828125
2020-09-15,129.09835815429688
2020-09-16,128.67352294921875
2020-09-17,127.60704803466797
2020-09-18,129.3498077392578
2020-09-21,125.81218719482422
2020-09-22,125.04048156738281
2020-09-23,125.23992156982422
2020-09-24,125.4393310546875
2020-09-25,126.2977294921875
2020-09-28,127.55499267578125
2020-09-29,127.5116195678711
2020-09-30,129.0897216796875
2020-10-01,127.73709106445312
2020-10-02,126.8006591796875
2020-10-05,128.52609252929688
2020-10-06,126.8179702758789
2020-10-07,128.22264099121094
2020-10-08,129.09835815429688
2020-10-09,130.90191650390625
2020-10-12,131.65623474121094
2020-10-13,128.6388397216797
2020-10-14,128.41339111328125
2020-10-15,127.62434387207031
2020-10-16,128.41339111328125
2020-10-19,125.1358871459961
2020-10-20,125.33531951904297
2020-10-21,124.79768371582031
2020-10-22,125.79486083984375
2020-10-23,125.93359375
2020-10-26,124.8323974609375
2020-10-27,124.12137603759766
2020-10-28,119.96813201904297
2020-10-29,118.9536361694336
2020-10-30,118.88426971435547
2020-11-02,120.25425720214844
2020-11-03,120.08950805664062
2020-11-04,120.86988830566406
2020-11-05,121.1820068359375
2020-11-06,123.34103393554688
2020-11-09,126.66194152832031
2020-11-10,128.5694580078125
2020-11-11,128.15330505371094
2020-11-12,128.5868377685547
2020-11-13,129.97413635253906
2020-11-16,130.7978973388672
2020-11-17,129.49725341796875
2020-11-18,127.78044128417969
2020-11-19,127.58102416992188
2020-11-20,126.90470123291016
