date,AAPL,MSFT,GOOG,AMZN,NVDA
2020-01-02,72.53850555419922,152.79112243652344,67.90381622314453,94.90049743652344,5.971410751342773
2020-01-03,71.83329010009766,150.8886260986328,67.57058715820312,93.74849700927734,5.8758320808410645
2020-01-06,72.40567779541016,151.27859497070312,69.2366943359375,95.14399719238281,5.900472640991211
2020-01-07,72.06513214111328,149.8993377685547,69.19348907470703,95.34300231933594,5.9719085693359375
2020-01-08,73.22439575195312,152.28692626953125,69.73876190185547,94.59850311279297,5.983108997344971
2020-01-09,74.77975463867188,154.18943786621094,70.50898742675781,95.05249786376953,6.048819541931152
2020-01-10,74.94880676269531,153.4760284423828,71.0006332397461,94.15799713134766,6.081175804138184
2020-01-13,76.550048828125,155.3214874267578,71.47239685058594,94.56500244140625,6.271834373474121
2020-01-14,75.51638793945312,154.2274932861328,71.05773162841797,93.47200012207031,6.15485143661499
2020-01-15,75.19273376464844,155.22630310058594,71.47090911865234,93.10099792480469,6.112287521362305
2020-01-16,76.13463592529297,158.070556640625,72.09165954589844,93.89700317382812,6.195919990539551
2020-01-17,76.97750854492188,158.95529174804688,73.51640319824219,93.23600006103516,6.2046308517456055
2020-01-21,76.45584869384766,158.384521484375,73.71553802490234,94.5999984741211,6.17127799987793
2020-01-22,76.72877502441406,157.6234893798828,73.79252624511719,94.37300109863281,6.225290298461914
2020-01-23,77.09828186035156,158.5938262939453,73.82728576660156,94.22899627685547,6.293737888336182
2020-01-24,76.8760986328125,156.99569702148438,72.8370590209961,93.08200073242188,6.234500408172607
2020-01-27,74.61553955078125,154.3702392578125,71.20771789550781,91.41699981689453,5.978629112243652
2020-01-28,76.72634887695312,157.39520263671875,72.13436126708984,92.6624984741211,6.172025203704834
2020-01-29,78.33240509033203,159.8494415283203,72.43579864501953,92.9000015258789,6.111542701721191
2020-01-30,78.21890258789062,164.3583984375,72.29725646972656,93.53399658203125,6.11826229095459
2020-01-31,74.75078582763672,161.93267822265625,71.22409057617188,100.43599700927734,5.884791851043701
2020-02-03,74.54547119140625,165.88047790527344,73.79202270507812,100.20999908447266,5.981864929199219
2020-02-04,77.00650024414062,171.34063720703125,71.86172485351562,102.4834976196289,6.151116847991943
2020-02-05,77.63444519042969,171.1313934326172,71.9193344116211,101.99349975585938,6.241468906402588
2020-02-06,78.54253387451172,174.6795654296875,73.30982208251953,102.5114974975586,6.328334331512451
2020-02-07,77.47492980957031,174.92694091796875,73.45880889892578,103.96399688720703,6.26212739944458
2020-02-10,77.8428955078125,179.50250244140625,74.92129516601562,106.69550323486328,6.545378684997559
2020-02-11,77.37326049804688,175.45010375976562,74.9267578125,107.54000091552734,6.667837619781494
2020-02-12,79.21070098876953,175.7069854736328,75.39752960205078,108.0,6.7835774421691895
2020-02-13,78.6466293334961,174.75570678710938,75.21826171875,107.49349975585938,6.73976993560791
2020-02-14,78.66600036621094,176.31576538085938,75.52019500732422,106.74349975585938,7.21293306350708
2020-02-18,77.22559356689453,178.10409545898438,75.46705627441406,107.78350067138672,7.381689071655273
2020-02-19,78.34400177001953,178.63827514648438,75.815673828125,108.51100158691406,7.832948207855225
2020-02-20,77.540283203125,175.9102020263672,75.3915786743164,107.65499877929688,7.68360710144043
2020-02-21,75.78514862060547,170.34922790527344,73.75080108642578,104.79850006103516,7.31946325302124
2020-02-24,72.18533325195312,163.00454711914062,70.59638977050781,100.4645004272461,6.801996231079102
2020-02-25,69.74026489257812,160.31471252441406,68.9506607055664,98.63700103759766,6.52247953414917
2020-02-26,70.84659576416016,162.31777954101562,69.185546875,98.97949981689453,6.661863803863525
2020-02-27,66.21549224853516,150.8810272216797,65.45657348632812,94.21499633789062,6.291027069091797
2020-02-28,66.1767578125,154.5343017578125,66.51134490966797,94.1875,6.726119518280029
2020-03-02,72.33786010742188,164.81687927246094,68.98342895507812,97.69750213623047,6.884516716003418
2020-03-03,70.04045867919922,156.91896057128906,66.61365509033203,95.44950103759766,6.622016906738281
2020-03-04,73.28926086425781,162.6802520751953,68.85481262207031,98.79149627685547,7.08574914932251
2020-03-05,70.9119644165039,158.59774780273438,65.50374603271484,96.20149993896484,6.806314468383789
2020-03-06,69.97026062011719,154.11463928222656,64.47926330566406,95.05449676513672,6.625751495361328
2020-03-09,64.4361572265625,143.6698760986328,60.36491012573242,90.03050231933594,6.112706661224365
2020-03-10,69.07696533203125,153.49462890625,63.584373474121094,94.59100341796875,6.502223014831543
2020-03-11,66.67787170410156,146.54098510742188,60.35745620727539,91.04299926757812,6.138359546661377
2020-03-12,60.09311294555664,132.643310546875,55.36661148071289,83.83049774169922,5.387221336364746
2020-03-13,67.29277038574219,151.50103759765625,60.571990966796875,89.25,5.998143196105957
2020-03-16,58.635765075683594,129.17124938964844,53.84800338745117,84.4574966430664,4.891361713409424
2020-03-17,61.213985443115234,139.8068084716797,55.60945129394531,90.39199829101562,5.411130428314209
2020-03-18,59.7154655456543,133.9214630126953,54.467262268066406,91.5,5.051253318786621
2020-03-19,59.2579231262207,136.12489318847656,55.38548278808594,94.04650115966797,5.3040385246276855
2020-03-20,55.49589920043945,131.01222229003906,53.251583099365234,92.30449676513672,5.124224662780762
2020-03-23,54.316932678222656,129.70538330078125,52.471923828125,95.1415023803711,5.297065734863281
2020-03-24,59.76630783081055,141.49508666992188,56.33747100830078,97.00499725341797,6.2058515548706055
2020-03-25,59.437068939208984,140.1406707763672,54.74983596801758,94.29199981689453,6.117190837860107
2020-03-26,62.5648307800293,148.9065399169922,57.69269561767578,97.77449798583984,6.406586647033691
