date,ENPH
2020-01-02,29.34000015258789
2020-01-03,29.290000915527344
2020-01-06,29.65999984741211
2020-01-07,29.989999771118164
2020-01-08,31.0
2020-01-09,31.59000015258789
2020-01-10,30.670000076293945
2020-01-13,30.790000915527344
2020-01-14,30.200000762939453
2020-01-15,30.15999984741211
2020-01-16,30.829999923706055
2020-01-17,31.5
2020-01-21,31.260000228881836
2020-01-22,31.6200008392334
2020-01-23,32.06999969482422
2020-01-24,32.70000076293945
2020-01-27,29.950000762939453
2020-01-28,32.2400016784668
2020-01-29,32.560001373291016
2020-01-30,33.4900016784668
2020-01-31,31.520000457763672
2020-02-03,32.91999816894531
2020-02-04,36.900001525878906
2020-02-05,36.90999984741211
2020-02-06,38.38999938964844
2020-02-07,38.04999923706055
2020-02-10,38.61000061035156
2020-02-11,39.65999984741211
2020-02-12,41.5
2020-02-13,41.34000015258789
2020-02-14,41.09000015258789
2020-02-18,40.16999816894531
2020-02-19,57.220001220703125
2020-02-20,58.7400016784668
2020-02-21,59.09000015258789
2020-02-24,55.2599983215332
2020-02-25,50.900001525878906
2020-02-26,51.869998931884766
2020-02-27,48.7599983215332
2020-02-28,48.970001220703125
2020-03-02,51.400001525878906
2020-03-03,52.369998931884766
2020-03-04,53.470001220703125
2020-03-05,56.689998626708984
2020-03-06,53.04999923706055
2020-03-09,43.380001068115234
2020-03-10,45.59000015258789
2020-03-11,41.72999954223633
2020-03-12,33.02000045776367
2020-03-13,32.86000061035156
2020-03-16,27.450000762939453
2020-03-17,29.280000686645508
2020-03-18,23.989999771118164
2020-03-19,26.25
2020-03-20,26.0
2020-03-23,27.510000228881836
2020-03-24,34.34000015258789
2020-03-25,36.810001373291016
2020-03-26,36.130001068115234
2020-03-27,32.380001068115234
2020-03-30,32.0
2020-03-31,32.290000915527344
2020-04-01,29.770000457763672
2020-04-02,29.920000076293945
2020-04-03,28.690000534057617
2020-04-06,34.04999923706055
2020-04-07,35.040000915527344
2020-04-08,37.93000030517578
2020-04-09,38.060001373291016
2020-04-13,37.779998779296875
2020-04-14,41.400001525878906
2020-04-15,39.61000061035156
2020-04-16,38.790000915527344
2020-04-17,38.959999084472656
2020-04-20,39.0099983215332
2020-04-21,35.5099983215332
2020-04-22,38.2400016784668
2020-04-23,39.47999954223633
2020-04-24,37.72999954223633
2020-04-27,37.209999084472656
2020-04-28,43.0
2020-04-29,48.9900016784668
2020-04-30,46.83000183105469
2020-05-01,43.25
2020-05-04,43.97999954223633
2020-05-05,44.369998931884766
2020-05-06,52.68000030517578
2020-05-07,54.4900016784668
2020-05-08,57.279998779296875
2020-05-11,59.58000183105469
2020-05-12,59.27000045776367
2020-05-13,57.470001220703125
2020-05-14,56.97999954223633
2020-05-15,58.380001068115234
2020-05-18,64.41999816894531
2020-05-19,67.04000091552734
2020-05-20,64.16999816894531
2020-05-21,59.93000030517578
2020-05-22,56.41999816894531
2020-05-26,58.43000030517578
2020-05-27,57.86000061035156
2020-05-28,55.79999923706055
2020-05-29,58.189998626708984
2020-06-01,59.68000030517578
2020-06-02,56.95000076293945
2020-06-03,53.31999969482422
2020-06-04,51.63999938964844
2020-06-05,54.59000015258789
2020-06-08,52.900001525878906
2020-06-09,51.58000183105469
2020-06-10,49.349998474121094
2020-06-11,47.65999984741211
2020-06-12,48.630001068115234
2020-06-15,50.45000076293945
2020-06-16,52.7599983215332
2020-06-17,39.040000915527344
2020-06-18,45.720001220703125
2020-06-19,46.720001220703125
2020-06-22,45.560001373291016
