date,JNJ,PFE,MRK,ABT,AMGN
2020-01-02,124.07300567626953,28.447664260864258,73.24810028076172,78.20802307128906,201.03111267089844
2020-01-03,122.63651275634766,28.2950382232666,72.61937713623047,77.25460052490234,199.66629028320312
2020-01-06,122.48350524902344,28.258695602416992,72.92976379394531,77.65937042236328,201.1985626220703
2020-01-07,123.23150634765625,28.16420555114746,70.98794555664062,77.22764587402344,199.30628967285156
2020-01-08,123.21449279785156,28.389516830444336,70.51045227050781,77.54244232177734,199.45700073242188
2020-01-09,123.57997131347656,28.265958786010742,71.13118743896484,77.74931335449219,200.05149841308594
2020-01-10,123.29948425292969,28.702049255371094,71.25057220458984,76.77790069580078,199.49049377441406
2020-01-13,123.84346771240234,28.643901824951172,71.2346420288086,76.56204223632812,198.36851501464844
2020-01-14,124.5405044555664,29.12360382080078,71.56890106201172,77.44723510742188,200.94737243652344
2020-01-15,124.95697021484375,29.55970001220703,72.85018920898438,78.92862701416016,202.3707275390625
2020-01-16,125.96847534179688,29.516084671020508,72.56369018554688,79.74156951904297,201.36599731445312
2020-01-17,126.79293060302734,29.44340705871582,72.39655303955078,80.39192199707031,202.19491577148438
2020-01-21,126.8779525756836,29.319849014282227,71.60073852539062,81.05133056640625,198.93788146972656
2020-01-22,126.0109634399414,29.21082305908203,71.34605407714844,82.97531127929688,198.2261962890625
2020-01-23,126.24893951416016,29.58876609802246,70.4786148071289,81.95462036132812,196.79444885253906
2020-01-24,126.07048034667969,28.941892623901367,68.42537689208984,81.65653228759766,188.88211059570312
2020-01-27,126.43595886230469,29.18901824951172,68.5208740234375,80.92486572265625,186.6717071533203
2020-01-28,127.0734634399414,27.72084617614746,68.6402587890625,80.87973022460938,188.25421142578125
2020-01-29,127.95741271972656,27.313823699951172,69.42811584472656,80.51839447021484,190.1883087158203
2020-01-30,127.80442810058594,27.218379974365234,68.83920288085938,80.53645324707031,189.3510284423828
2020-01-31,126.53790283203125,27.343196868896484,67.99562072753906,78.71184539794922,180.89450073242188
2020-02-03,127.64292907714844,27.541446685791016,69.50770568847656,78.63956451416016,181.58946228027344
2020-02-04,128.85842895507812,27.673608779907227,70.31945037841797,79.69641876220703,185.7172088623047
2020-02-05,130.88990783691406,28.026042938232422,68.30599975585938,80.89778137207031,194.1988983154297
2020-02-06,130.49893188476562,28.092126846313477,68.18663024902344,80.81648254394531,193.7886199951172
2020-02-07,129.10494995117188,27.937938690185547,67.70911407470703,79.37123107910156,192.01356506347656
2020-02-10,129.0794219970703,27.76171875,68.17070770263672,79.7596435546875,190.4143524169922
2020-02-11,129.18992614746094,27.967300415039062,67.84441375732422,80.54549407958984,191.7037811279297
2020-02-12,128.42491149902344,27.710315704345703,66.25275421142578,80.2022476196289,190.0626983642578
2020-02-13,127.5749282836914,27.115585327148438,65.23408508300781,80.10289001464844,188.0726776123047
2020-02-14,127.60894775390625,26.80720329284668,65.7752456665039,80.98811340332031,188.44371032714844
2020-02-18,126.7674331665039,26.667695999145508,65.6240463256836,80.28355407714844,186.93435668945312
2020-02-19,126.59746551513672,26.601619720458984,65.25797271728516,80.71711730957031,188.00527954101562
2020-02-20,126.11294555664062,26.322601318359375,65.64791107177734,79.90415954589844,187.31382751464844
2020-02-21,127.43893432617188,26.227144241333008,65.528564453125,78.99183654785156,187.86192321777344
2020-02-24,124.81280517578125,25.456193923950195,64.72476196289062,76.44458770751953,183.72164916992188
2020-02-25,123.73499298095703,24.912851333618164,63.88119888305664,73.28314208984375,177.39752197265625
2020-02-26,122.90525817871094,25.492908477783203,63.61854934692383,73.49090576171875,180.90530395507812
2020-02-27,119.00458526611328,25.037677764892578,62.13833999633789,71.53076171875,171.59609985351562
2020-02-28,115.03548431396484,24.538393020629883,60.92868423461914,69.57968139648438,168.4171600341797
2020-03-02,119.77446746826172,25.610389709472656,64.756591796875,73.71668243408203,178.93215942382812
2020-03-03,115.98497772216797,25.184524536132812,62.973941802978516,70.44683074951172,172.37188720703125
2020-03-04,122.73418426513672,26.726430892944336,66.02993774414062,74.1502685546875,181.38595581054688
2020-03-05,121.47673797607422,26.0362491607666,64.92371368408203,72.73211669921875,178.86471557617188
2020-03-06,121.4938735961914,25.713180541992188,65.4171371459961,73.83409881591797,177.62518310546875
2020-03-09,116.71210479736328,24.78803253173828,62.83866882324219,69.57064056396484,167.2703857421875
2020-03-10,121.16024017333984,25.39745330810547,65.27388000488281,73.05728149414062,174.3787384033203
2020-03-11,112.74298095703125,23.62058448791504,63.0694465637207,70.53713989257812,167.5064697265625
2020-03-12,107.27690887451172,22.041961669921875,59.24947738647461,67.51114654541016,153.66917419433594
2020-03-13,114.87297058105469,24.017078399658203,61.58446502685547,73.75282287597656,170.4155731201172
2020-03-16,108.74822998046875,22.15944480895996,56.10405349731445,66.53562927246094,159.0995330810547
2020-03-17,116.8404312133789,23.613245010375977,59.76300048828125,71.8017349243164,175.2219696044922
2020-03-18,115.44609069824219,23.760089874267578,57.47615432739258,71.593994140625,172.759765625
2020-03-19,108.67980194091797,22.335660934448242,56.75400161743164,67.29438018798828,167.5992431640625
2020-03-20,102.55506896972656,21.300382614135742,57.259521484375,61.42304229736328,158.7369384765625
2020-03-23,95.07023620605469,20.918577194213867,53.27958679199219,56.74405288696289,156.78065490722656
2020-03-24,101.94772338867188,21.8070068359375,55.40595626831055,62.949607849121094,170.6179962158203
2020-03-25,102.13592529296875,21.84371566772461,54.73996353149414,63.90706253051758,162.86033630371094
2020-03-26,108.26919555664062,23.312206268310547,59.0007209777832,68.47764587402344,167.37158203125
2020-03-27,105.35225677490234,22.688098907470703,57.556392669677734,67.34857940673828,167.1860809326172
2020-03-30,113.77803802490234,23.98771095275879,61.74494552612305,71.66625213623047,175.7953643798828
2020-03-31,112.16987609863281,23.965679168701172,61.736915588378906,71.27783966064453,170.94683837890625
2020-04-01,110.18531799316406,23.312206268310547,59.217376708984375,69.16417694091797,166.79818725585938
2020-04-02,113.8978042602539,24.134553909301758,61.68073654174805,71.7565689086914,176.13265991210938
2020-04-03,114.77030181884766,24.699922561645508,61.18327713012695,71.76559448242188,173.2067108154297
2020-04-06,119.55206298828125,25.38277244567871,64.44102478027344,74.7283706665039,178.4093780517578
2020-04-07,117.60172271728516,24.67789649963379,63.036808013916016,74.0057373046875,176.04830932617188
2020-04-08,122.54598236083984,25.40479850769043,65.49217224121094,76.733642578125,184.8262939453125
2020-04-09,120.80950164794922,25.984848022460938,66.19023895263672,77.7182388305664,183.9999542236328
2020-04-13,119.56060791015625,25.80129051208496,64.62555694580078,77.54659271240234,184.0505828857422
2020-04-14,124.91548919677734,26.75580596923828,66.4710922241211,80.85746002197266,191.2432403564453
2020-04-15,126.30982971191406,26.41071319580078,65.8532485961914,82.4902114868164,187.02711486816406
2020-04-16,128.02915954589844,26.344619750976562,66.5994873046875,87.08003997802734,194.70046997070312
2020-04-17,130.03936767578125,27.10089683532715,66.96858215332031,87.08912658691406,198.13238525390625
2020-04-20,129.73995971679688,26.49147605895996,66.67973327636719,88.89421844482422,199.5068359375
2020-04-21,128.03770446777344,26.153724670410156,63.036808013916016,85.31126403808594,194.57394409179688
2020-04-22,130.86911010742188,26.61629295349121,64.17623138427734,86.60836029052734,193.3428955078125
2020-04-23,133.02476501464844,26.939361572265625,64.89839935302734,85.21145629882812,196.04115295410156
2020-04-24,132.46878051757812,27.445999145507812,65.3396987915039,85.32032775878906,199.2370147705078
2020-04-27,131.98117065429688,28.143524169921875,67.38585662841797,86.12759399414062,204.4227752685547
2020-04-28,129.50048828125,27.83513832092285,65.13909912109375,82.96188354492188,200.40907287597656
2020-04-29,128.51678466796875,27.989328384399414,64.81011962890625,83.70572662353516,198.73947143554688
2020-04-30,128.34568786621094,28.165546417236328,63.662662506103516,83.5333480834961,201.7161102294922
2020-05-01,126.84870910644531,27.63689613342285,62.322669982910156,81.50150299072266,194.7678985595703
2020-05-04,126.83158874511719,27.62221336364746,61.672733306884766,81.48335266113281,194.70889282226562
2020-05-05,127.88377380371094,28.27568244934082,62.59547805786133,84.38602447509766,199.30445861816406
2020-05-06,126.66908264160156,28.27568244934082,61.8813591003418,82.61720275878906,199.49838256835938
2020-05-07,126.24993133544922,27.40806007385254,60.66169357299805,85.25680541992188,196.7494659423828
2020-05-08,127.19940948486328,27.600862503051758,61.30362319946289,84.9937515258789,198.0059051513672
2020-05-11,127.55014038085938,28.253437042236328,62.515262603759766,87.14356231689453,204.6842041015625
2020-05-12,125.86499786376953,27.704679489135742,61.93751525878906,85.08446502685547,200.02117919921875
2020-05-13,125.85643005371094,27.47479820251465,62.499210357666016,83.59686279296875,199.70077514648438
2020-05-14,126.29269409179688,28.119958877563477,64.23239135742188,83.25216674804688,200.67044067382812
2020-05-15,128.68783569335938,28.001310348510742,64.0157470703125,81.53777313232422,203.91339111328125
2020-05-18,128.7562713623047,28.23118782043457,63.96759796142578,81.88245391845703,197.9623565673828
2020-05-19,127.47315979003906,27.941986083984375,62.226383209228516,80.02294921875,193.072509765625
2020-05-20,126.32687377929688,27.904909133911133,61.69680404663086,81.71917724609375,193.44607543945312
2020-05-21,125.49716186523438,27.63052749633789,61.423988342285156,81.99131774902344,190.82289123535156
2020-05-22,124.3515625,27.808500289916992,61.27953338623047,82.97098541259766,192.22357177734375
2020-05-26,124.51522827148438,27.80109214782715,61.99367141723633,81.16586303710938,188.8024139404297
2020-05-27,124.79946899414062,27.741762161254883,62.226383209228516,82.32691955566406,190.8483428955078
2020-05-28,126.59104919433594,28.312768936157227,63.42195510864258,83.54241180419922,190.27105712890625
2020-05-29,128.12425231933594,28.320178985595703,64.77000427246094,86.10041046142578,194.99961853027344
2020-06-01,126.78057098388672,26.29572296142578,63.83922576904297,84.36786651611328,192.63107299804688
2020-06-02,127.6935806274414,26.814807891845703,64.86628723144531,84.01412200927734,189.92298889160156
2020-06-03,128.03811645507812,26.814807891845703,65.84522247314453,82.90746307373047,187.61390686035156
