date,MSFT
2020-01-02,152.79112243652344
2020-01-03,150.8886260986328
2020-01-06,151.27859497070312
2020-01-07,149.8993377685547
2020-01-08,152.28692626953125
2020-01-09,154.18943786621094
2020-01-10,153.4760284423828
2020-01-13,155.3214874267578
2020-01-14,154.2274932861328
2020-01-15,155.22630310058594
2020-01-16,158.070556640625
2020-01-17,158.95529174804688
2020-01-21,158.384521484375
2020-01-22,157.6234893798828
2020-01-23,158.5938262939453
2020-01-24,156.99569702148438
2020-01-27,154.3702392578125
2020-01-28,157.39520263671875
2020-01-29,159.8494415283203
2020-01-30,164.3583984375
2020-01-31,161.93267822265625
2020-02-03,165.88047790527344
2020-02-04,171.34063720703125
2020-02-05,171.1313934326172
2020-02-06,174.6795654296875
2020-02-07,174.92694091796875
2020-02-10,179.50250244140625
2020-02-11,175.45010375976562
2020-02-12,175.7069854736328
2020-02-13,174.75570678710938
2020-02-14,176.31576538085938
2020-02-18,178.10409545898438
2020-02-19,178.63827514648438
2020-02-20,175.9102020263672
2020-02-21,170.34922790527344
2020-02-24,163.00454711914062
2020-02-25,160.31471252441406
2020-02-26,162.31777954101562
2020-02-27,150.8810272216797
2020-02-28,154.5343017578125
2020-03-02,164.81687927246094
2020-03-03,156.91896057128906
2020-03-04,162.6802520751953
2020-03-05,158.59774780273438
2020-03-06,154.11463928222656
2020-03-09,143.6698760986328
2020-03-10,153.49462890625
2020-03-11,146.54098510742188
2020-03-12,132.643310546875
2020-03-13,151.50103759765625
2020-03-16,129.17124938964844
2020-03-17,139.8068084716797
2020-03-18,133.9214630126953
2020-03-19,136.12489318847656
2020-03-20,131.01222229003906
2020-03-23,129.70538330078125
2020-03-24,141.49508666992188
2020-03-25,140.1406707763672
2020-03-26,148.9065399169922
2020-03-27,142.79232788085938
2020-03-30,152.83644104003906
2020-03-31,150.4327392578125
2020-04-01,145.09115600585938
2020-04-02,148.09579467773438
2020-04-03,146.73171997070312
2020-04-06,157.64389038085938
2020-04-07,155.94602966308594
2020-04-08,157.51034545898438
2020-04-09,157.5198974609375
2020-04-13,157.8728485107422
2020-04-14,165.6848907470703
2020-04-15,163.9488983154297
2020-04-16,168.87078857421875
2020-04-17,170.3588104248047
2020-04-20,166.9821319580078
2020-04-21,160.0762176513672
2020-04-22,165.5132293701172
2020-04-23,163.51011657714844
2020-04-24,166.49569702148438
2020-04-27,166.01873779296875
2020-04-28,161.97438049316406
2020-04-29,169.24278259277344
2020-04-30,170.9406280517578
2020-05-01,166.51478576660156
2020-05-04,170.5877227783203
2020-05-05,172.4191131591797
2020-05-06,174.1169891357422
2020-05-07,175.12808227539062
2020-05-08,176.1582794189453
2020-05-11,178.12319946289062
2020-05-12,174.08837890625
2020-05-13,171.4557342529297
2020-05-14,172.1997528076172
2020-05-15,174.70838928222656
2020-05-18,176.37762451171875
2020-05-19,175.1566925048828
2020-05-20,177.58624267578125
2020-05-21,175.4532012939453
2020-05-22,175.52972412109375
2020-05-26,173.67410278320312
2020-05-27,173.90365600585938
2020-05-28,173.51144409179688
2020-05-29,175.28106689453125
2020-06-01,174.87930297851562
2020-06-02,176.8688507080078
2020-06-03,177.2992706298828
2020-06-04,174.96536254882812
2020-06-05,179.0592498779297
2020-06-08,180.16880798339844
2020-06-09,181.5461883544922
2020-06-10,188.2801055908203
2020-06-11,178.16973876953125
2020-06-12,179.5758056640625
2020-06-15,180.72360229492188
2020-06-16,185.1522674560547
2020-06-17,185.79315185546875
2020-06-18,187.78269958496094
2020-06-19,186.6635284423828
2020-06-22,191.84783935546875
2020-06-23,193.12957763671875
2020-06-24,189.23658752441406
2020-06-25,191.62783813476562
2020-06-26,187.79225158691406
2020-06-29,189.81051635742188
2020-06-30,194.66000366210938
2020-07-01,195.79824829101562
2020-07-02,197.29042053222656
2020-07-06,201.5373077392578
2020-07-07,199.19387817382812
2020-07-08,203.5747528076172
2020-07-09,204.99990844726562
2020-07-10,204.378173828125
2020-07-13,198.06520080566406
2020-07-14,199.28953552246094
2020-07-15,198.99302673339844
2020-07-16,195.05213928222656
2020-07-17,194.05740356445312
2020-07-20,202.398193359375
2020-07-21,199.672119140625
2020-07-22,202.5416717529297
2020-07-23,193.73219299316406
2020-07-24,192.5460968017578
2020-07-27,194.9851837158203
2020-07-28,193.23484802246094
2020-07-29,195.1861114501953
2020-07-30,195.0330352783203
2020-07-31,196.0947723388672
2020-08-03,207.12338256835938
2020-08-04,204.01470947265625
2020-08-05,203.67991638183594
2020-08-06,206.94161987304688
2020-08-07,203.23992919921875
2020-08-10,199.19387817382812
2020-08-11,194.53562927246094
