date,SLB
2020-01-02,35.14986801147461
2020-01-03,35.491127014160156
2020-01-06,35.71864318847656
2020-01-07,35.53488540649414
2020-01-08,34.4848518371582
2020-01-09,34.87861251831055
2020-01-10,34.85236358642578
2020-01-13,34.32734298706055
2020-01-14,34.58985137939453
2020-01-15,33.53982925415039
2020-01-16,33.93357849121094
2020-01-17,33.57481384277344
2020-01-21,32.332279205322266
2020-01-22,32.09602355957031
2020-01-23,31.87726593017578
2020-01-24,31.299755096435547
2020-01-27,29.71595001220703
2020-01-28,29.71595001220703
2020-01-29,29.51468849182129
2020-01-30,29.785951614379883
2020-01-31,29.322181701660156
2020-02-03,29.278438568115234
2020-02-04,29.81220054626465
2020-02-05,30.687219619750977
2020-02-06,30.197208404541016
2020-02-07,30.11845588684082
2020-02-10,30.057205200195312
2020-02-11,30.447904586791992
2020-02-12,31.122753143310547
2020-02-13,30.785322189331055
2020-02-14,30.563337326049805
2020-02-18,29.879621505737305
2020-02-19,30.447904586791992
2020-02-20,30.03944969177246
2020-02-21,29.648752212524414
2020-02-24,27.46438217163086
2020-02-25,26.052541732788086
2020-02-26,25.200103759765625
2020-02-27,23.83265495300293
2020-02-28,24.054643630981445
2020-03-02,24.67621612548828
2020-03-03,23.806018829345703
2020-03-04,24.045766830444336
2020-03-05,22.935821533203125
2020-03-06,21.177677154541016
2020-03-09,15.370468139648438
2020-03-10,16.15186309814453
2020-03-11,15.432623863220215
2020-03-12,12.804283142089844
2020-03-13,14.349319458007812
2020-03-16,12.795402526855469
2020-03-17,12.431344985961914
2020-03-18,10.699836730957031
2020-03-19,12.315909385681152
2020-03-20,12.67996883392334
2020-03-23,11.392436027526855
2020-03-24,13.008509635925293
2020-03-25,12.964115142822266
2020-03-26,13.781030654907227
2020-03-27,12.218233108520508
2020-03-30,11.792015075683594
2020-03-31,11.978487014770508
2020-04-01,11.179327964782715
2020-04-02,12.324786186218262
2020-04-03,12.688848495483398
2020-04-06,13.914222717285156
2020-04-07,14.624587059020996
2020-04-08,15.343830108642578
2020-04-09,14.624587059020996
2020-04-13,14.162851333618164
2020-04-14,13.798788070678711
2020-04-15,13.079547882080078
2020-04-16,12.475741386413574
2020-04-17,13.567920684814453
2020-04-20,13.505763053894043
2020-04-21,13.044026374816895
2020-04-22,13.621200561523438
2020-04-23,14.668981552124023
2020-04-24,14.304924011230469
2020-04-27,14.251644134521484
2020-04-28,14.340441703796387
2020-04-29,16.160741806030273
2020-04-30,14.935370445251465
2020-05-01,13.985259056091309
2020-05-04,14.411476135253906
2020-05-05,14.429237365722656
2020-05-06,14.047414779663086
2020-05-07,14.85545539855957
2020-05-08,16.027549743652344
2020-05-11,15.414859771728516
2020-05-12,15.166237831115723
2020-05-13,14.074056625366211
2020-05-14,14.296045303344727
2020-05-15,14.162851333618164
2020-05-18,15.938755989074707
2020-05-19,15.19287395477295
2020-05-20,16.16962242126465
2020-05-21,15.796680450439453
2020-05-22,15.610211372375488
2020-05-26,16.338335037231445
2020-05-27,16.915502548217773
2020-05-28,16.68463134765625
2020-05-29,16.40049171447754
2020-06-01,16.364973068237305
2020-06-02,16.861154556274414
2020-06-03,17.531665802001953
2020-06-04,18.17536163330078
2020-06-05,19.659423828125
2020-06-08,21.143489837646484
2020-06-09,20.124311447143555
2020-06-10,18.73858070373535
2020-06-11,16.548248291015625
2020-06-12,16.98631477355957
2020-06-15,17.272396087646484
2020-06-16,17.47801971435547
2020-06-17,17.728349685668945
2020-06-18,18.0412540435791
2020-06-19,17.621061325073242
2020-06-22,17.719409942626953
2020-06-23,17.495901107788086
2020-06-24,15.96713638305664
2020-06-25,16.467790603637695
2020-06-26,15.59164810180664
2020-06-29,16.101238250732422
2020-06-30,16.44096565246582
2020-07-01,15.841971397399902
2020-07-02,16.074413299560547
2020-07-06,16.76280975341797
2020-07-07,16.25322151184082
2020-07-08,16.154878616333008
2020-07-09,15.314499855041504
2020-07-10,15.90455436706543
2020-07-13,15.538008689880371
2020-07-14,16.44096565246582
2020-07-15,16.896913528442383
2020-07-16,16.825389862060547
2020-07-17,16.646589279174805
2020-07-20,16.485668182373047
2020-07-21,17.486967086791992
2020-07-22,17.138303756713867
2020-07-23,17.254518508911133
2020-07-24,17.415437698364258
2020-07-27,17.59425163269043
2020-07-28,17.12041473388672
2020-07-29,17.370742797851562
2020-07-30,16.485668182373047
2020-07-31,16.217456817626953
2020-08-03,16.735986709594727
2020-08-04,17.191938400268555
2020-08-05,17.433319091796875
2020-08-06,17.272396087646484
2020-08-07,17.54954719543457
2020-08-10,18.077011108398438
2020-08-11,18.148536682128906
2020-08-12,18.202180862426758
2020-08-13,17.764110565185547
2020-08-14,17.942907333374023
2020-08-17,17.889266967773438
2020-08-18,17.674705505371094
2020-08-19,17.6300048828125
2020-08-20,16.78069305419922
2020-08-21,16.610828399658203
2020-08-24,17.47801971435547
2020-08-25,17.21875762939453
2020-08-26,16.6912899017334
2020-08-27,16.71811294555664
2020-08-28,17.361801147460938
2020-08-31,16.995254516601562
2020-09-01,16.765771865844727
2020-09-02,16.891765594482422
2020-09-03,17.206737518310547
2020-09-04,17.37772560119629
2020-09-08,16.540786743164062
2020-09-09,16.747770309448242
2020-09-10,15.937832832336426
2020-09-11,16.081819534301758
2020-09-14,16.22580909729004
2020-09-15,16.378801345825195
2020-09-16,17.260732650756836
2020-09-17,17.17074203491211
2020-09-18,16.855764389038086
2020-09-21,15.541861534118652
2020-09-22,15.595853805541992
2020-09-23,14.947903633117676
2020-09-24,14.956902503967285
2020-09-25,14.326950073242188
2020-09-28,14.803915023803711
2020-09-29,14.038970947265625
2020-09-30,14.002973556518555
2020-10-01,13.508010864257812
2020-10-02,14.011972427368164
2020-10-05,14.46193790435791
2020-10-06,14.101967811584473
2020-10-07,14.353948593139648
2020-10-08,14.785916328430176
2020-10-09,14.605928421020508
2020-10-12,14.506937980651855
2020-10-13,14.155961990356445
2020-10-14,14.353948593139648
2020-10-15,14.776918411254883
2020-10-16,13.472013473510742
2020-10-19,13.508010864257812
2020-10-20,13.939977645874023
2020-10-21,13.508010864257812
2020-10-22,13.768991470336914
2020-10-23,13.85898494720459
2020-10-26,13.651998519897461
2020-10-27,13.580004692077637
2020-10-28,12.761067390441895
2020-10-29,13.004048347473145
2020-10-30,13.445013999938965
2020-11-02,14.02097225189209
2020-11-03,14.18295955657959
2020-11-04,14.37194538116455
2020-11-05,13.966976165771484
2020-11-06,13.696996688842773
2020-11-09,16.423799514770508
2020-11-10,16.477792739868164
2020-11-11,15.937832832336426
2020-11-12,15.568856239318848
2020-11-13,16.198810577392578
2020-11-16,18.034683227539062
2020-11-17,18.079669952392578
2020-11-18,17.971683502197266
2020-11-19,18.41265106201172
2020-11-20,18.18766212463379
2020-11-23,19.44757652282715
2020-11-24,20.00553321838379
2020-11-25,19.888538360595703
2020-11-27,19.69055938720703
2020-11-30,18.709630966186523
2020-12-01,19.076311111450195
2020-12-02,19.592369079589844
2020-12-03,19.98168182373047
2020-12-04,21.231103897094727
2020-12-07,20.669775009155273
2020-12-08,21.03192138671875
2020-12-09,21.15867805480957
2020-12-10,21.167724609375
2020-12-11,20.76936149597168
2020-12-14,20.081274032592773
2020-12-15,20.79652214050293
2020-12-16,20.67882537841797
2020-12-17,20.76030731201172
2020-12-18,20.198974609375
2020-12-21,19.7191219329834
2020-12-22,19.338869094848633
2020-12-23,19.845876693725586
2020-12-24,19.592369079589844
2020-12-28,19.528993606567383
2020-12-29,19.35697364807129
2020-12-30,19.809663772583008
2020-12-31,19.76439094543457
2021-01-04,19.8730411529541
2021-01-05,20.941383361816406
2021-01-06,22.100269317626953
2021-01-07,22.525793075561523
2021-01-08,22.489585876464844
2021-01-11,22.625391006469727
2021-01-12,23.666566848754883
2021-01-13,23.050912857055664
2021-01-14,23.503604888916016
2021-01-15,22.55295181274414
2021-01-19,23.01469612121582
2021-01-20,22.951326370239258
2021-01-21,21.90108299255371
2021-01-22,22.100269317626953
2021-01-25,21.493663787841797
2021-01-26,20.588289260864258
2021-01-27,19.746280670166016
2021-01-28,20.49774932861328
2021-01-29,20.108434677124023
2021-02-01,20.063169479370117
2021-02-02,20.380046844482422
2021-02-03,21.89203643798828
2021-02-04,22.462419509887695
2021-02-05,22.643491744995117
2021-02-08,23.530765533447266
2021-02-09,23.539819717407227
2021-02-10,24.101154327392578
2021-02-11,23.87480926513672
2021-02-12,24.236957550048828
2021-02-16,24.387048721313477
2021-02-17,24.441627502441406
2021-02-18,23.26820945739746
2021-02-19,23.759410858154297
2021-02-22,25.05107307434082
2021-02-23,25.23299789428711
2021-02-24,26.7520694732666
2021-02-25,25.93341064453125
2021-02-26,25.38763427734375
2021-03-01,26.12442970275879
2021-03-02,25.596851348876953
2021-03-03,25.806060791015625
2021-03-04,25.997087478637695
2021-03-05,26.44280242919922
2021-03-08,27.02495765686035
2021-03-09,26.69749641418457
2021-03-10,27.243268966674805
2021-03-11,26.742977142333984
2021-03-12,26.38822364807129
2021-03-15,26.488283157348633
2021-03-16,25.524078369140625
2021-03-17,25.751487731933594
2021-03-18,24.787282943725586
2021-03-19,24.605356216430664
2021-03-22,25.151132583618164
2021-03-23,24.259702682495117
2021-03-24,24.941917419433594
2021-03-25,24.923725128173828
2021-03-26,25.751487731933594
2021-03-29,25.196611404418945
2021-03-30,24.759994506835938
2021-03-31,24.73270606994629
2021-04-01,25.56046485900879
2021-04-05,25.060169219970703
2021-04-06,24.960111618041992
2021-04-07,24.878246307373047
2021-04-08,24.61445426940918
2021-04-09,24.341564178466797
2021-04-12,24.141447067260742
2021-04-13,23.68663787841797
2021-04-14,24.841854095458984
2021-04-15,24.250608444213867
2021-04-16,23.91404151916504
2021-04-19,24.132354736328125
2021-04-20,22.968032836914062
2021-04-21,23.404653549194336
2021-04-22,22.968032836914062
2021-04-23,23.38646125793457
2021-04-26,23.986814498901367
2021-04-27,23.81397819519043
2021-04-28,24.88734245300293
2021-04-29,25.305767059326172
2021-04-30,24.605356216430664
2021-05-03,25.669614791870117
2021-05-04,25.824254989624023
