date,CVX
2020-01-02,93.95562744140625
2020-01-03,93.63067626953125
2020-01-06,93.31342315673828
2020-01-07,92.12184143066406
2020-01-08,91.06957244873047
2020-01-09,90.92256164550781
2020-01-10,90.09463500976562
2020-01-13,90.2648696899414
2020-01-14,89.98633575439453
2020-01-15,89.85479736328125
2020-01-16,90.44282531738281
2020-01-17,89.4292221069336
2020-01-21,87.6728286743164
2020-01-22,87.35559844970703
2020-01-23,87.51033782958984
2020-01-24,86.54317474365234
2020-01-27,85.41350555419922
2020-01-28,85.97834014892578
2020-01-29,85.39804077148438
2020-01-30,86.19499206542969
2020-01-31,82.89884948730469
2020-02-03,82.23342895507812
2020-02-04,82.6744613647461
2020-02-05,85.3283920288086
2020-02-06,84.7171401977539
2020-02-07,84.29158020019531
2020-02-10,84.94925689697266
2020-02-11,86.04796600341797
2020-02-12,86.69020080566406
2020-02-13,86.39614868164062
2020-02-14,86.1691665649414
2020-02-18,86.29439544677734
2020-02-19,86.685791015625
2020-02-20,85.95779418945312
2020-02-21,85.33158111572266
2020-02-24,81.96558380126953
2020-02-25,78.83443450927734
2020-02-26,76.74439239501953
2020-02-27,73.68370056152344
2020-02-28,73.06529998779297
2020-03-02,75.60934448242188
2020-03-03,73.8872299194336
2020-03-04,77.12796783447266
2020-03-05,76.07902526855469
2020-03-06,74.61521911621094
2020-03-09,63.147403717041016
2020-03-10,66.5212173461914
2020-03-11,64.99476623535156
2020-03-12,59.695316314697266
2020-03-13,65.30004119873047
2020-03-16,54.56023025512695
2020-03-17,55.3351936340332
2020-03-18,43.0924072265625
2020-03-19,44.92411804199219
2020-03-20,46.48969650268555
2020-03-23,42.44269561767578
2020-03-24,52.09445571899414
2020-03-25,54.22361755371094
2020-03-26,59.78923416137695
2020-03-27,53.840049743652344
2020-03-30,56.32147979736328
2020-03-31,56.720726013183594
2020-04-01,53.667850494384766
2020-04-02,59.585716247558594
2020-04-03,58.79510498046875
2020-04-06,62.92821502685547
2020-04-07,63.34309005737305
2020-04-08,67.30399322509766
2020-04-09,65.99671936035156
2020-04-13,66.46641540527344
2020-04-14,66.2315673828125
2020-04-15,64.5720443725586
2020-04-16,62.6151008605957
2020-04-17,68.23550415039062
2020-04-20,65.41749572753906
2020-04-21,63.90668869018555
2020-04-22,66.09849548339844
2020-04-23,67.94589233398438
2020-04-24,68.11027526855469
2020-04-27,70.22378540039062
2020-04-28,70.3803482055664
2020-04-29,74.06727600097656
2020-04-30,72.016357421875
2020-05-01,70.01243591308594
2020-05-04,71.57801055908203
2020-05-05,72.71304321289062
2020-05-06,70.48993682861328
2020-05-07,72.51734924316406
2020-05-08,74.7326431274414
2020-05-11,73.08878326416016
2020-05-12,71.31187438964844
2020-05-13,69.43317413330078
2020-05-14,70.48993682861328
2020-05-15,69.79325866699219
2020-05-18,73.5104751586914
2020-05-19,71.18325805664062
2020-05-20,73.86788940429688
2020-05-21,73.10540771484375
2020-05-22,71.70746612548828
2020-05-26,74.10618591308594
2020-05-27,74.58277130126953
2020-05-28,72.17607116699219
2020-05-29,72.83533477783203
2020-06-01,73.70111846923828
2020-06-02,75.2102279663086
2020-06-03,77.18798828125
2020-06-04,76.47314453125
2020-06-05,80.07121276855469
2020-06-08,82.00130462646484
2020-06-09,80.64309692382812
2020-06-10,77.5057144165039
2020-06-11,70.98465728759766
2020-06-12,73.3833999633789
2020-06-15,72.4620361328125
2020-06-16,74.6860122680664
2020-06-17,72.70825958251953
2020-06-18,73.02597045898438
2020-06-19,71.9854507446289
2020-06-22,72.74798583984375
2020-06-23,72.62883758544922
2020-06-24,69.61054992675781
2020-06-25,70.85758209228516
2020-06-26,68.67333221435547
2020-06-29,69.6343994140625
2020-06-30,70.87348175048828
2020-07-01,69.59467315673828
2020-07-02,70.14273071289062
2020-07-06,70.3492431640625
2020-07-07,68.55416870117188
2020-07-08,68.58595275878906
