date,ABT
2020-01-02,78.20802307128906
2020-01-03,77.25460052490234
2020-01-06,77.65937042236328
2020-01-07,77.22764587402344
2020-01-08,77.54244232177734
2020-01-09,77.74931335449219
2020-01-10,76.77790069580078
2020-01-13,76.56204223632812
2020-01-14,77.44723510742188
2020-01-15,78.92862701416016
2020-01-16,79.74156951904297
2020-01-17,80.39192199707031
2020-01-21,81.05133056640625
2020-01-22,82.97531127929688
2020-01-23,81.95462036132812
2020-01-24,81.65653228759766
2020-01-27,80.92486572265625
2020-01-28,80.87973022460938
2020-01-29,80.51839447021484
2020-01-30,80.53645324707031
2020-01-31,78.71184539794922
2020-02-03,78.63956451416016
2020-02-04,79.69641876220703
2020-02-05,80.89778137207031
2020-02-06,80.81648254394531
2020-02-07,79.37123107910156
2020-02-10,79.7596435546875
2020-02-11,80.54549407958984
2020-02-12,80.2022476196289
2020-02-13,80.10289001464844
2020-02-14,80.98811340332031
2020-02-18,80.28355407714844
2020-02-19,80.71711730957031
2020-02-20,79.90415954589844
2020-02-21,78.99183654785156
2020-02-24,76.44458770751953
2020-02-25,73.28314208984375
2020-02-26,73.49090576171875
2020-02-27,71.53076171875
2020-02-28,69.57968139648438
2020-03-02,73.71668243408203
2020-03-03,70.44683074951172
2020-03-04,74.1502685546875
2020-03-05,72.73211669921875
2020-03-06,73.83409881591797
2020-03-09,69.57064056396484
2020-03-10,73.05728149414062
2020-03-11,70.53713989257812
2020-03-12,67.51114654541016
2020-03-13,73.75282287597656
2020-03-16,66.53562927246094
2020-03-17,71.8017349243164
2020-03-18,71.593994140625
2020-03-19,67.29438018798828
2020-03-20,61.42304229736328
2020-03-23,56.74405288696289
2020-03-24,62.949607849121094
2020-03-25,63.90706253051758
2020-03-26,68.47764587402344
2020-03-27,67.34857940673828
2020-03-30,71.66625213623047
2020-03-31,71.27783966064453
2020-04-01,69.16417694091797
2020-04-02,71.7565689086914
2020-04-03,71.76559448242188
2020-04-06,74.7283706665039
2020-04-07,74.0057373046875
2020-04-08,76.733642578125
2020-04-09,77.7182388305664
2020-04-13,77.54659271240234
2020-04-14,80.85746002197266
2020-04-15,82.4902114868164
2020-04-16,87.08003997802734
2020-04-17,87.08912658691406
2020-04-20,88.89421844482422
2020-04-21,85.31126403808594
2020-04-22,86.60836029052734
2020-04-23,85.21145629882812
2020-04-24,85.32032775878906
2020-04-27,86.12759399414062
2020-04-28,82.96188354492188
2020-04-29,83.70572662353516
2020-04-30,83.5333480834961
2020-05-01,81.50150299072266
2020-05-04,81.48335266113281
2020-05-05,84.38602447509766
2020-05-06,82.61720275878906
2020-05-07,85.25680541992188
2020-05-08,84.9937515258789
2020-05-11,87.14356231689453
2020-05-12,85.08446502685547
2020-05-13,83.59686279296875
2020-05-14,83.25216674804688
2020-05-15,81.53777313232422
2020-05-18,81.88245391845703
2020-05-19,80.02294921875
2020-05-20,81.71917724609375
2020-05-21,81.99131774902344
2020-05-22,82.97098541259766
2020-05-26,81.16586303710938
2020-05-27,82.32691955566406
2020-05-28,83.54241180419922
2020-05-29,86.10041046142578
2020-06-01,84.36786651611328
2020-06-02,84.01412200927734
2020-06-03,82.90746307373047
2020-06-04,80.0501480102539
2020-06-05,81.51055908203125
2020-06-08,83.95967864990234
2020-06-09,81.88245391845703
2020-06-10,83.59686279296875
2020-06-11,79.62383270263672
2020-06-12,80.74860382080078
2020-06-15,81.2293701171875
2020-06-16,81.40171813964844
2020-06-17,82.45392608642578
2020-06-18,81.89152526855469
2020-06-19,82.2543716430664
2020-06-22,81.94596099853516
2020-06-23,82.81674194335938
2020-06-24,79.18842315673828
2020-06-25,81.2928695678711
2020-06-26,80.46742248535156
2020-06-29,80.73954010009766
2020-06-30,82.93467712402344
2020-07-01,83.12516021728516
2020-07-02,83.66035461425781
2020-07-06,84.33160400390625
2020-07-07,83.86897277832031
2020-07-08,83.97782897949219
2020-07-09,84.966552734375
2020-07-10,84.39507293701172
2020-07-13,84.44044494628906
2020-07-14,86.34359741210938
2020-07-15,88.08287811279297
2020-07-16,87.7823486328125
2020-07-17,90.37760162353516
2020-07-20,90.22277069091797
2020-07-21,89.41234588623047
2020-07-22,91.23355102539062
2020-07-23,91.80723571777344
2020-07-24,90.1043930053711
2020-07-27,91.05142974853516
2020-07-28,90.93304443359375
2020-07-29,93.35526275634766
2020-07-30,92.45376586914062
2020-07-31,91.64334106445312
2020-08-03,91.67975616455078
2020-08-04,90.99678039550781
2020-08-05,93.00923156738281
2020-08-06,92.65408325195312
2020-08-07,92.18058013916016
2020-08-10,91.09696960449219
2020-08-11,90.20457458496094
2020-08-12,91.65242004394531
2020-08-13,92.06220245361328
2020-08-14,91.05142974853516
2020-08-17,91.70706176757812
2020-08-18,91.93473052978516
2020-08-19,91.49763488769531
2020-08-20,92.54483795166016
2020-08-21,93.24600219726562
2020-08-24,92.3262939453125
2020-08-25,93.30973815917969
2020-08-26,93.96537017822266
2020-08-27,101.34127807617188
2020-08-28,100.88597869873047
2020-08-31,99.68397521972656
2020-09-01,97.02499389648438
2020-09-02,99.65665435791016
2020-09-03,96.09616088867188
2020-09-04,94.84866333007812
2020-09-08,93.64665222167969
2020-09-09,96.35115051269531
2020-09-10,94.70295715332031
2020-09-11,95.34037780761719
2020-09-14,96.24188232421875
2020-09-15,97.05231475830078
2020-09-16,96.25098419189453
2020-09-17,97.12519073486328
2020-09-18,97.30729675292969
2020-09-21,96.4786376953125
2020-09-22,95.43144989013672
2020-09-23,93.54649353027344
2020-09-24,91.8982925415039
2020-09-25,94.20211791992188
2020-09-28,95.10363006591797
2020-09-29,95.78657531738281
2020-09-30,99.10118865966797
2020-10-01,98.92816162109375
2020-10-02,96.9794692993164
2020-10-05,98.85531616210938
2020-10-06,96.7518310546875
2020-10-07,98.10862731933594
2020-10-08,98.83709716796875
2020-10-09,99.84789276123047
2020-10-12,101.12273406982422
2020-10-13,98.68231964111328
2020-10-14,98.44477081298828
2020-10-15,98.0518798828125
2020-10-16,100.19895935058594
2020-10-19,98.70970916748047
2020-10-20,99.00208282470703
2020-10-21,96.78192901611328
2020-10-22,100.0253677368164
2020-10-23,98.48130798339844
2020-10-26,99.58679962158203
2020-10-27,99.20307922363281
2020-10-28,97.22962188720703
2020-10-29,95.93226623535156
2020-10-30,96.03276824951172
2020-11-02,98.19806671142578
2020-11-03,100.09845733642578
2020-11-04,101.89830780029297
2020-11-05,103.7256088256836
2020-11-06,104.53874969482422
2020-11-09,99.94314575195312
2020-11-10,101.24047088623047
2020-11-11,102.92160034179688
2020-11-12,102.28205871582031
2020-11-13,102.87591552734375
2020-11-16,103.85350799560547
2020-11-17,103.29617309570312
2020-11-18,100.2903060913086
2020-11-19,101.41409301757812
2020-11-20,101.3135986328125
2020-11-23,99.83348846435547
2020-11-24,98.31684875488281
2020-11-25,97.22046661376953
2020-11-27,98.32598114013672
2020-11-30,98.87416076660156
2020-12-01,99.120849609375
2020-12-02,98.81021118164062
2020-12-03,98.2437515258789
2020-12-04,98.581787109375
2020-12-07,97.9239730834961
2020-12-08,97.5768051147461
2020-12-09,97.13826751708984
2020-12-10,97.32097625732422
2020-12-11,97.77779388427734
2020-12-14,97.56766510009766
2020-12-15,98.1706771850586
2020-12-16,98.0701675415039
2020-12-17,99.38579559326172
2020-12-18,99.55939483642578
2020-12-21,98.75538635253906
2020-12-22,98.92900848388672
2020-12-23,98.1706771850586
2020-12-24,98.99293518066406
2020-12-28,98.48130798339844
2020-12-29,98.97468566894531
2020-12-30,99.07515716552734
2020-12-31,100.03449249267578
2021-01-04,99.68731689453125
2021-01-05,100.92070770263672
2021-01-06,100.71060180664062
2021-01-07,101.68817138671875
2021-01-08,101.97142028808594
2021-01-11,101.26790618896484
2021-01-12,99.44062805175781
2021-01-13,102.46478271484375
2021-01-14,100.94200897216797
2021-01-15,102.09784698486328
2021-01-19,103.26283264160156
2021-01-20,103.55638122558594
2021-01-21,103.6114273071289
2021-01-22,103.51051330566406
2021-01-25,105.2350845336914
2021-01-26,105.24427032470703
2021-01-27,104.84063720703125
2021-01-28,110.43629455566406
2021-01-29,113.37171173095703
2021-02-01,112.40853881835938
2021-02-02,110.29869842529297
2021-02-03,110.28034210205078
2021-02-04,109.84004211425781
2021-02-05,113.77534484863281
2021-02-08,114.20647430419922
2021-02-09,114.80274200439453
2021-02-10,114.9311752319336
2021-02-11,116.3530044555664
2021-02-12,117.62808990478516
2021-02-16,117.43544006347656
2021-02-17,116.71994018554688
2021-02-18,115.04125213623047
2021-02-19,112.86720275878906
2021-02-22,112.4177017211914
2021-02-23,110.8124008178711
2021-02-24,112.26174926757812
2021-02-25,111.52790832519531
2021-02-26,109.87673950195312
2021-03-01,112.10582733154297
2021-03-02,112.39936828613281
2021-03-03,109.32634735107422
2021-03-04,106.41844177246094
2021-03-05,107.55589294433594
2021-03-08,106.0698471069336
2021-03-09,107.05137634277344
