date,MRK
2020-01-02,73.24810028076172
2020-01-03,72.61937713623047
2020-01-06,72.92976379394531
2020-01-07,70.98794555664062
2020-01-08,70.51045227050781
2020-01-09,71.13118743896484
2020-01-10,71.25057220458984
2020-01-13,71.2346420288086
2020-01-14,71.56890106201172
2020-01-15,72.85018920898438
2020-01-16,72.56369018554688
2020-01-17,72.39655303955078
2020-01-21,71.60073852539062
2020-01-22,71.34605407714844
2020-01-23,70.4786148071289
2020-01-24,68.42537689208984
2020-01-27,68.5208740234375
2020-01-28,68.6402587890625
2020-01-29,69.42811584472656
2020-01-30,68.83920288085938
2020-01-31,67.99562072753906
2020-02-03,69.50770568847656
2020-02-04,70.31945037841797
2020-02-05,68.30599975585938
2020-02-06,68.18663024902344
2020-02-07,67.70911407470703
2020-02-10,68.17070770263672
2020-02-11,67.84441375732422
2020-02-12,66.25275421142578
2020-02-13,65.23408508300781
2020-02-14,65.7752456665039
2020-02-18,65.6240463256836
2020-02-19,65.25797271728516
2020-02-20,65.64791107177734
2020-02-21,65.528564453125
2020-02-24,64.72476196289062
2020-02-25,63.88119888305664
2020-02-26,63.61854934692383
2020-02-27,62.13833999633789
2020-02-28,60.92868423461914
2020-03-02,64.756591796875
2020-03-03,62.973941802978516
2020-03-04,66.02993774414062
2020-03-05,64.92371368408203
2020-03-06,65.4171371459961
2020-03-09,62.83866882324219
2020-03-10,65.27388000488281
2020-03-11,63.0694465637207
2020-03-12,59.24947738647461
2020-03-13,61.58446502685547
2020-03-16,56.10405349731445
2020-03-17,59.76300048828125
2020-03-18,57.47615432739258
2020-03-19,56.75400161743164
2020-03-20,57.259521484375
2020-03-23,53.27958679199219
2020-03-24,55.40595626831055
2020-03-25,54.73996353149414
2020-03-26,59.0007209777832
2020-03-27,57.556392669677734
2020-03-30,61.74494552612305
2020-03-31,61.736915588378906
2020-04-01,59.217376708984375
2020-04-02,61.68073654174805
2020-04-03,61.18327713012695
2020-04-06,64.44102478027344
2020-04-07,63.036808013916016
2020-04-08,65.49217224121094
2020-04-09,66.19023895263672
2020-04-13,64.62555694580078
2020-04-14,66.4710922241211
2020-04-15,65.8532485961914
2020-04-16,66.5994873046875
2020-04-17,66.96858215332031
2020-04-20,66.67973327636719
2020-04-21,63.036808013916016
2020-04-22,64.17623138427734
2020-04-23,64.89839935302734
2020-04-24,65.3396987915039
2020-04-27,67.38585662841797
2020-04-28,65.13909912109375
2020-04-29,64.81011962890625
2020-04-30,63.662662506103516
2020-05-01,62.322669982910156
2020-05-04,61.672733306884766
